tag,place,user
"""been""","Longhorsley, UK",neilm920
"""been""","Monterey, CA, USA",neilm920
"""been""","Hexham, UK",neilm920
"""been""","San Francisco, CA, USA",neilm920
"""been""","Las Vegas, NV, USA",neilm920
"""been""","Newcastle upon Tyne, UK",neilm920
"""been""","Rome, Italy",neilm920
"""been""","Cockermouth, UK",neilm920
"""been""","Pocklington, UK",neilm920
"""been""","Herning, Denmark",neilm920
"""been""","Marmaris, Turkey",neilm920
"""been""","Santa Barbara, CA, USA",neilm920
"""been""","New York City, NY, USA",neilm920
"""been""","York, UK",neilm920
"""been""","Prague, Czech Republic",neilm920
"""been""","Denholm, UK",neilm920
"""been""","Whitley Bay, UK",neilm920
"""been""","Sandwich, UK",neilm920
"""been""","Keswick, UK",neilm920
"""been""","Hurworth-on-Tees, UK",neilm920
"""been""","Los Angeles, CA, USA",neilm920
"""been""","Dunkeld, UK",neilm920
"""been""","Morro Bay, CA, USA",neilm920
"""been""","Paphos, Cyprus",neilm920
