tag,place,user
"""been""","Point Clear, AL, USA",neilsellers
"""been""","Paia, HI, USA",neilsellers
"""been""","Seattle, WA, USA",neilsellers
"""been""","Steamboat Springs, CO, USA",neilsellers
"""been""","Victoria, British Columbia, Canada",neilsellers
"""been""","Venice, Italy",neilsellers
"""been""","Kailua-Kona, HI, USA",neilsellers
"""been""","Nice, France",neilsellers
"""been""","Gibraltar, Europe",neilsellers
"""been""","Lahaina, HI, USA",neilsellers
"""been""","Mobile, AL, USA",neilsellers
"""been""","Kihei, HI, USA",neilsellers
"""been""","Madrid, Spain",neilsellers
"""been""","Simi Valley, CA, USA",neilsellers
"""been""","Carson City, NV, USA",neilsellers
"""been"",""fave""","Monte-Carlo, Monaco",neilsellers
"""been""","San Clemente, CA, USA",neilsellers
"""been"",""fave""","Wailea, HI, USA",neilsellers
"""been""","Key Colony Beach, FL, USA",neilsellers
"""been""","Fort Lauderdale, FL, USA",neilsellers
"""been""","Marathon, FL, USA",neilsellers
"""been""","Key West, FL, USA",neilsellers
"""been""","St Martin \u002F St Maarten, Caribbean",neilsellers
"""been""","Philipsburg, St Martin \u002F St Maarten",neilsellers
"""been""","Ventura, CA, USA",neilsellers
"""been""","Marigot, St Martin \u002F St Maarten",neilsellers
"""been""","Washington DC, DC, USA",neilsellers
"""been""","Branson, MO, USA",neilsellers
"""been"",""fave""","St-Paul-de-Vence, France",neilsellers
"""been""","Alghero, Italy",neilsellers
"""been""","Chinon, France",neilsellers
"""been""","Valencia, Spain",neilsellers
"""been""","Malibu, CA, USA",neilsellers
"""been""","Cancun, Mexico",neilsellers
"""been""","Grand Case, St Martin \u002F St Maarten",neilsellers
"""been"",""fave""","Mahahual, Mexico",neilsellers
"""been""","Managua, Nicaragua",neilsellers
"""been""","Atlanta, GA, USA",neilsellers
"""been""","Cozumel, Mexico",neilsellers
"""been""","Jerez de los Caballeros, Spain",neilsellers
"""been""","Prague, Czech Republic",neilsellers
"""been""","Los Olivos, CA, USA",neilsellers
"""been""","Camarillo, CA, USA",neilsellers
"""been""","Nashville, TN, USA",neilsellers
"""been"",""fave""","Isla Mujeres, Mexico",neilsellers
"""been""","Miami Beach, FL, USA",neilsellers
"""been""","Oranjestad, Aruba",neilsellers
"""been""","Los Angeles, CA, USA",neilsellers
"""been""","Fresno, CA, USA",neilsellers
"""been""","Tunica, MS, USA",neilsellers
"""been""","Panama City, Panama",neilsellers
"""been""","Charlotte Amalie, U.S. Virgin Islands",neilsellers
"""been""","Bath, UK",neilsellers
"""been""","Memphis, TN, USA",neilsellers
"""been""","Playa del Carmen, Mexico",neilsellers
"""been""","Palma de Mallorca, Spain",neilsellers
"""been"",""fave""","Eze, France",neilsellers
"""been""","Ojai, CA, USA",neilsellers
"""been""","Jerez De La Frontera, Spain",neilsellers
"""been""","Saint-Malo, France",neilsellers
"""been""","Montserrat, Spain",neilsellers
"""been""","Seven Mile Beach, Cayman Islands",neilsellers
"""been""","Waialua, HI, USA",neilsellers
"""been""","St. John, U.S. Virgin Islands",neilsellers
"""been""","Rosarito, Mexico",neilsellers
"""been""","Galveston, TX, USA",neilsellers
"""been""","San Antonio, TX, USA",neilsellers
"""been"",""fave""","San Francisco, CA, USA",neilsellers
"""been""","Napa, CA, USA",neilsellers
