tag,place,user
"""been""","Christchurch, New Zealand",nziv2
"""been""","Gold Coast, Australia",nziv2
"""been""","Kyoto, Japan",nziv2
"""been""","Takehara, Japan",nziv2
"""been""","Urayasu, Japan",nziv2
"""been""","Hiroshima, Japan",nziv2
"""been""","Minato, Japan",nziv2
"""been""","Shibuya, Japan",nziv2
"""been""","Shinjuku, Japan",nziv2
"""been""","Narita, Japan",nziv2
"""been""","Mermaid Beach, Australia",nziv2
"""been""","Shinagawa, Japan",nziv2
"""been""","Los Angeles, CA, USA",nziv2
"""been""","Orlando, FL, USA",nziv2
"""been""","Washington DC, DC, USA",nziv2
"""been""","St. George, UT, USA",nziv2
"""been""","Dallas, TX, USA",nziv2
"""been""","Chicago, IL, USA",nziv2
"""been""","San Francisco, CA, USA",nziv2
"""been""","Daylesford, Australia",nziv2
"""been""","Kuta, Indonesia",nziv2
"""been""","Coolangatta, Australia",nziv2
"""been""","Osaka, Japan",nziv2
"""been""","Austin, TX, USA",nziv2
"""been""","Seminyak, Indonesia",nziv2
"""been""","Las Vegas, NV, USA",nziv2
"""been""","Monument Valley, UT, USA",nziv2
"""been""","Palo Alto, CA, USA",nziv2
"""been""","Chiyoda, Japan",nziv2
"""been""","New York City, NY, USA",nziv2
"""been""","Yarraville, Australia",nziv2
"""been""","San Simeon, CA, USA",nziv2
"""been""","South Lake Tahoe, CA, USA",nziv2
"""been""","Salt Lake City, UT, USA",nziv2
"""been""","Groveland, CA, USA",nziv2
"""been""","Ubud, Indonesia",nziv2
"""been""","Melbourne, Australia",nziv2
"""been""","Arlington, TX, USA",nziv2
"""been""","Hong Kong, China",nziv2
"""been""","Santa Monica, CA, USA",nziv2
"""been""","Kanazawa, Japan",nziv2
"""been""","Te Anau, New Zealand",nziv2
