tag,place,user
"""been""","Dublin, Ireland",oldhogs
"""been""","Playa de las Americas, Spain",oldhogs
"""been""","Truro, UK",oldhogs
"""been""","Narberth, UK",oldhogs
"""been""","Los Cristianos, Spain",oldhogs
"""been""","Minneapolis, MN, USA",oldhogs
"""been""","Fowey, UK",oldhogs
"""been""","Headingley, UK",oldhogs
"""been""","Durham, UK",oldhogs
"""been""","St. Davids, UK",oldhogs
"""been"",""want""","Barcelona, Spain",oldhogs
"""been""","La Haye-Pesnel, France",oldhogs
"""been""","Munich, Germany",oldhogs
"""been""","Ulaanbaatar, Mongolia",oldhogs
"""been""","London, UK",oldhogs
"""been""","Liverpool, UK",oldhogs
"""been""","Ravenglass, UK",oldhogs
"""been""","Alrewas, UK",oldhogs
"""been""","Paphos, Cyprus",oldhogs
"""been""","Nelson, New Zealand",oldhogs
"""been""","Hollywood, FL, USA",oldhogs
"""been""","Haverfordwest, UK",oldhogs
"""been""","Pembroke, UK",oldhogs
"""want""","St. John's, Antigua and Barbuda",oldhogs
"""been""","Paris, France",oldhogs
"""been""","Windermere, UK",oldhogs
"""been""","Zurich, Switzerland",oldhogs
"""been""","Blackpool, UK",oldhogs
"""been""","Southampton, UK",oldhogs
"""been""","Tucson, AZ, USA",oldhogs
"""been""","San Francisco, CA, USA",oldhogs
"""been""","Las Vegas, NV, USA",oldhogs
"""been""","Krabi Town, Thailand",oldhogs
"""been""","Mablethorpe, UK",oldhogs
"""been""","Bournemouth, UK",oldhogs
"""been""","Lytham St Anne's, UK",oldhogs
"""been""","Berwick upon Tweed, UK",oldhogs
"""been""","Santa Monica, CA, USA",oldhogs
"""been""","Alicante, Spain",oldhogs
"""been""","Queenstown, New Zealand",oldhogs
"""been""","Calgary, Alberta, Canada",oldhogs
"""been""","Skipton, UK",oldhogs
"""been""","Winchester, UK",oldhogs
"""been""","Beverley, UK",oldhogs
"""been""","Basel, Switzerland",oldhogs
"""been""","Buena Park, CA, USA",oldhogs
"""been""","Banff, Alberta, Canada",oldhogs
"""been""","Barnard Castle, UK",oldhogs
"""been""","Venice, Italy",oldhogs
"""been""","Edmonton, Alberta, Canada",oldhogs
"""been""","Nice, France",oldhogs
"""been""","Durham, NC, USA",oldhogs
"""been""","Rimini, Italy",oldhogs
"""been""","Benidorm, Spain",oldhogs
"""been""","Ayia Napa, Cyprus",oldhogs
"""been""","Leyburn, UK",oldhogs
"""been""","Burton upon Trent, UK",oldhogs
"""been""","Wellingborough, UK",oldhogs
"""been""","Barton under Needwood, UK",oldhogs
"""been""","Brighton, UK",oldhogs
"""been""","Cape Town Central, South Africa",oldhogs
"""been""","Patong, Thailand",oldhogs
"""been""","Vila Seca, Spain",oldhogs
"""been""","Singapore, Singapore",oldhogs
"""been""","Anaheim, CA, USA",oldhogs
"""been""","Los Angeles, CA, USA",oldhogs
"""been""","Bradford, UK",oldhogs
"""been""","Edinburgh, UK",oldhogs
"""been""","Bacup, UK",oldhogs
"""been""","Tel Aviv, Israel",oldhogs
"""been""","Jerusalem, Israel",oldhogs
"""been""","Midoun, Tunisia",oldhogs
"""been""","Oxford, UK",oldhogs
"""been""","Basingstoke, UK",oldhogs
"""been""","Toulouse, France",oldhogs
"""been""","Stavanger, Norway",oldhogs
"""been""","Cairns, Australia",oldhogs
"""been""","Branston, UK",oldhogs
"""been""","Schladming, Austria",oldhogs
"""been""","Brisbane, Australia",oldhogs
"""been""","Haifa, Israel",oldhogs
"""been""","Melbourne, Australia",oldhogs
"""been""","Aberdeen, UK",oldhogs
"""been""","Birmingham, UK",oldhogs
"""been""","Eilat, Israel",oldhogs
"""been""","Milton Keynes, UK",oldhogs
"""been""","St Ives, UK",oldhogs
"""been""","Sheffield, UK",oldhogs
"""been""","Cala Millor, Spain",oldhogs
"""been""","Heacham, UK",oldhogs
"""been""","Nairobi, Kenya",oldhogs
"""been""","Oahu, HI, USA",oldhogs
"""been""","Salisbury, UK",oldhogs
"""want""","Holguin, Cuba",oldhogs
"""been""","Chiang Mai, Thailand",oldhogs
"""been""","Bangkok, Thailand",oldhogs
"""want""","Dubrovnik, Croatia",oldhogs
"""been""","Dunedin, New Zealand",oldhogs
"""been""","Christchurch, New Zealand",oldhogs
"""been""","Hudswell, UK",oldhogs
"""been""","Rawtenstall, UK",oldhogs
"""been""","Wellington, New Zealand",oldhogs
"""been""","Anchorage, AK, USA",oldhogs
"""been""","Scarborough, UK",oldhogs
"""been""","Bergen, Norway",oldhogs
"""been""","Auckland, New Zealand",oldhogs
"""been""","Leeds, UK",oldhogs
"""been""","Santa Clarita, CA, USA",oldhogs
"""been""","Minehead, UK",oldhogs
"""been""","Glasgow, UK",oldhogs
"""been""","Santa Barbara, CA, USA",oldhogs
"""been""","Folkestone, UK",oldhogs
"""been""","Majorca, Spain",oldhogs
"""been""","Manchester, UK",oldhogs
"""been""","Surfers Paradise, Australia",oldhogs
"""been""","Phuket, Thailand",oldhogs
"""want""","Palm Springs, CA, USA",oldhogs
"""been""","Nadi, Fiji",oldhogs
"""been""","Southend-on-Sea, UK",oldhogs
"""been""","Stirling, UK",oldhogs
"""been""","Vienna, Austria",oldhogs
"""been""","Whitby, UK",oldhogs
"""been""","Bridlington, UK",oldhogs
"""been""","Winnipeg, Manitoba, Canada",oldhogs
"""been""","Oban, UK",oldhogs
"""been""","Cambridge, UK",oldhogs
"""been""","Bristol, UK",oldhogs
"""been""","Aylesbury, UK",oldhogs
"""been""","Norwich, UK",oldhogs
"""been""","Shipley, UK",oldhogs
"""been""","Monterey, CA, USA",oldhogs
"""been""","Honolulu, HI, USA",oldhogs
"""been""","Holmrook, UK",oldhogs
"""been""","Mauritius, Africa",oldhogs
"""been""","Monze, Zambia",oldhogs
"""been""","Salzburg, Austria",oldhogs
"""been""","Chelmsford, UK",oldhogs
"""been""","Salou, Spain",oldhogs
"""been""","Llandudno, UK",oldhogs
"""been""","Ipswich, UK",oldhogs
"""been""","Poole, UK",oldhogs
"""been""","Ko Phi Phi Don, Thailand",oldhogs
"""been""","Whistler, British Columbia, Canada",oldhogs
"""been""","Harrogate, UK",oldhogs
