tag,place,user
"""been""","Tokyo, Japan",paulm1873
"""been""","Toronto, Ontario, Canada",paulm1873
"""been""","New York City, NY, USA",paulm1873
"""been""","Honolulu, HI, USA",paulm1873
"""been""","Boston, MA, USA",paulm1873
"""been""","Atlanta, GA, USA",paulm1873
"""want""","New Orleans, LA, USA",paulm1873
"""been""","Las Vegas, NV, USA",paulm1873
"""been""","Winter Park, FL, USA",paulm1873
"""been""","Los Angeles, CA, USA",paulm1873
"""been""","San Francisco, CA, USA",paulm1873
"""been""","Fernandina Beach, FL, USA",paulm1873
"""been""","Orlando, FL, USA",paulm1873
"""been""","Miami, FL, USA",paulm1873
"""been""","Gonzales, CA, USA",paulm1873
"""been""","Chicago, IL, USA",paulm1873
"""been""","Salinas, CA, USA",paulm1873
"""been""","Greenfield, CA, USA",paulm1873
"""been""","Sweetwater, TX, USA",paulm1873
"""been""","Phoenix, AZ, USA",paulm1873
"""been""","Anaheim, CA, USA",paulm1873
"""want""","Nashville, TN, USA",paulm1873
"""been""","Fort Lauderdale, FL, USA",paulm1873
"""been""","Osaka, Japan",paulm1873
