tag,place,user
"""been""","Malaga, Spain",pcryan5
"""been""","Ottawa, Ontario, Canada",pcryan5
"""been""","Madrid, Spain",pcryan5
"""been""","Lake Placid, NY, USA",pcryan5
"""been""","Sarasota, FL, USA",pcryan5
"""been""","Playa Blanca, Spain",pcryan5
"""been""","Puerto Vallarta, Mexico",pcryan5
"""been""","Rutherford, CA, USA",pcryan5
"""been""","Sacramento, CA, USA",pcryan5
"""been""","San Francisco, CA, USA",pcryan5
"""been""","Seattle, WA, USA",pcryan5
"""been""","Bellevue, WA, USA",pcryan5
"""been""","Litchfield Park, AZ, USA",pcryan5
"""been""","Houston, TX, USA",pcryan5
"""been""","Lahaina, HI, USA",pcryan5
"""been""","Maui, HI, USA",pcryan5
"""been""","Santa Barbara, CA, USA",pcryan5
"""been""","Tucson, AZ, USA",pcryan5
"""been""","Dallas, TX, USA",pcryan5
"""been""","Washington DC, DC, USA",pcryan5
"""been""","San Diego, CA, USA",pcryan5
"""been""","Nassau, Bahamas",pcryan5
"""been""","Niagara Falls, Ontario, Canada",pcryan5
"""been""","Nice, France",pcryan5
"""been""","Brussels, Belgium",pcryan5
"""been""","Calgary, Alberta, Canada",pcryan5
"""been""","Edmonton, Alberta, Canada",pcryan5
"""been""","Santa Fe, NM, USA",pcryan5
"""been""","Beverly Hills, CA, USA",pcryan5
"""been""","Ogunquit, ME, USA",pcryan5
"""been""","Las Vegas, NV, USA",pcryan5
"""been""","Benidorm, Spain",pcryan5
"""been""","Milan, Italy",pcryan5
"""been""","Valencia, Spain",pcryan5
"""been""","St. Pete Beach, FL, USA",pcryan5
"""been""","Montreal, Quebec, Canada",pcryan5
"""been""","Boston, MA, USA",pcryan5
"""been""","Vancouver, British Columbia, Canada",pcryan5
"""been""","Seville, Spain",pcryan5
"""been""","Victoria, British Columbia, Canada",pcryan5
"""been""","Whistler, British Columbia, Canada",pcryan5
"""been""","Freeport, Bahamas",pcryan5
"""been""","West Vancouver, British Columbia, Canada",pcryan5
"""been""","Anaheim, CA, USA",pcryan5
"""been""","Ixtapa, Mexico",pcryan5
"""been""","Richmond, British Columbia, Canada",pcryan5
"""been""","Chicago, IL, USA",pcryan5
"""been""","Siesta Key, FL, USA",pcryan5
"""been""","Orlando, FL, USA",pcryan5
"""been""","Tampa, FL, USA",pcryan5
"""been""","Albuquerque, NM, USA",pcryan5
"""been""","Los Angeles, CA, USA",pcryan5
"""been""","Portland, OR, USA",pcryan5
"""been""","Denver, CO, USA",pcryan5
"""been""","Port Moody, British Columbia, Canada",pcryan5
"""been""","Barcelona, Spain",pcryan5
"""been""","Burnaby, British Columbia, Canada",pcryan5
"""been""","Osoyoos, British Columbia, Canada",pcryan5
"""been""","Toronto, Ontario, Canada",pcryan5
"""been""","Palm Springs, CA, USA",pcryan5
"""been""","Long Beach, CA, USA",pcryan5
"""been""","Palm Desert, CA, USA",pcryan5
"""been""","New York City, NY, USA",pcryan5
"""been""","Playa Paraiso, Mexico",pcryan5
"""been""","Sedona, AZ, USA",pcryan5
"""been""","Amsterdam, The Netherlands",pcryan5
"""been""","Palma de Mallorca, Spain",pcryan5
"""been""","Athens, Greece",pcryan5
"""been""","Paris, France",pcryan5
