tag,place,user
"""been""","Cahuita, Costa Rica",peacemomma
"""been""","Calistoga, CA, USA",peacemomma
"""want""","San Antonio, TX, USA",peacemomma
"""been""","Santa Paula, CA, USA",peacemomma
"""been""","Inverness, CA, USA",peacemomma
"""want""","Ontario, CA, USA",peacemomma
"""been""","Lakeport, CA, USA",peacemomma
"""been""","La Fortuna de San Carlos, Costa Rica",peacemomma
"""been""","Joshua Tree National Park, CA, USA",peacemomma
"""been""","Everett, WA, USA",peacemomma
"""been""","Encinitas, CA, USA",peacemomma
"""want""","San Jose, Costa Rica",peacemomma
"""been""","Santa Barbara, CA, USA",peacemomma
"""been""","Claremont, CA, USA",peacemomma
"""want""","Los Angeles, CA, USA",peacemomma
"""been""","La Jolla, CA, USA",peacemomma
"""want""","Knoxville, TN, USA",peacemomma
"""been""","Calabasas, CA, USA",peacemomma
"""want""","Caracas, Venezuela",peacemomma
"""been""","Point Reyes Station, CA, USA",peacemomma
"""been""","Oakhurst, CA, USA",peacemomma
"""want""","Milwaukee, WI, USA",peacemomma
"""been""","Yosemite National Park, CA, USA",peacemomma
"""been""","Carlsbad, CA, USA",peacemomma
"""been""","Springdale, UT, USA",peacemomma
"""been""","San Diego, CA, USA",peacemomma
"""been"",""want""","Philadelphia, PA, USA",peacemomma
"""been""","Seward, AK, USA",peacemomma
