tag,place,user
"""been""","Raleigh, NC, USA",preisman
"""been""","Savannah, GA, USA",preisman
"""been""","North Lauderdale, FL, USA",preisman
"""been"",""fave""","Boca Raton, FL, USA",preisman
"""been""","Tunis, Tunisia",preisman
"""been""","Hamburg, NY, USA",preisman
"""been""","Cherry Hill, NJ, USA",preisman
"""been""","Hobart, Australia",preisman
"""been"",""fave""","Dubrovnik, Croatia",preisman
"""been""","Orlando, FL, USA",preisman
"""been""","San Angelo, TX, USA",preisman
"""been""","Tybee Island, GA, USA",preisman
"""been""","St. Augustine, FL, USA",preisman
"""been""","Memphis, TN, USA",preisman
"""been""","Cape Canaveral, FL, USA",preisman
"""been""","Midland, TX, USA",preisman
"""been""","Niceville, FL, USA",preisman
"""been""","Fort Myers Beach, FL, USA",preisman
"""been""","Kissimmee, FL, USA",preisman
"""been""","Fort Myers, FL, USA",preisman
"""been""","Baltimore, MD, USA",preisman
"""been""","Fremantle, Australia",preisman
"""been""","Atlanta, GA, USA",preisman
"""been""","Henderson, NV, USA",preisman
"""been""","Baton Rouge, LA, USA",preisman
"""been""","Palmdale, CA, USA",preisman
"""been""","Rocky Mount, NC, USA",preisman
"""been""","San Antonio, TX, USA",preisman
"""been""","Sebastian, FL, USA",preisman
"""been""","Roswell, NM, USA",preisman
"""been""","Swansea, Australia",preisman
"""been""","Naples, FL, USA",preisman
"""been""","Key West, FL, USA",preisman
"""been""","Fort Lauderdale, FL, USA",preisman
"""been""","Junction, TX, USA",preisman
"""been""","Oklahoma City, OK, USA",preisman
"""been""","Shannon, Ireland",preisman
"""been""","Key Largo, FL, USA",preisman
"""been""","Bagdad, FL, USA",preisman
"""been"",""fave""","Las Vegas, NV, USA",preisman
"""been""","Bethesda, MD, USA",preisman
"""been""","Jupiter, FL, USA",preisman
"""been""","West Palm Beach, FL, USA",preisman
"""been""","Deerfield Beach, FL, USA",preisman
"""been""","Delray Beach, FL, USA",preisman
"""been""","Daytona Beach, FL, USA",preisman
"""been""","Fira, Greece",preisman
"""been""","Ho Chi Minh City, Vietnam",preisman
"""been""","Hollywood, FL, USA",preisman
"""been""","Pompano Beach, FL, USA",preisman
"""been""","Hong Kong, China",preisman
"""been""","Malaga, Spain",preisman
"""been""","Bucharest, Romania",preisman
"""been""","Dubai, United Arab Emirates",preisman
"""been""","Washington DC, DC, USA",preisman
"""been""","Tucson, AZ, USA",preisman
"""been""","Oia, Greece",preisman
"""been""","Philadelphia, PA, USA",preisman
"""been""","Homestead, FL, USA",preisman
"""been""","Wellington, FL, USA",preisman
"""been""","Newcastle, Australia",preisman
"""been""","Middletown, NY, USA",preisman
"""been""","Xiamen, China",preisman
"""been""","New Orleans, LA, USA",preisman
"""been""","Boston, MA, USA",preisman
"""been""","Paris, France",preisman
"""been""","Dallas, TX, USA",preisman
"""been""","Los Angeles, CA, USA",preisman
"""been""","Miami, FL, USA",preisman
"""been""","Miami Beach, FL, USA",preisman
"""been""","Austin, TX, USA",preisman
"""been""","Houston, TX, USA",preisman
"""been""","Tallahassee, FL, USA",preisman
"""been""","Bishkek, Kyrgyzstan",preisman
"""been""","Sydney, Australia",preisman
"""been""","Coral Springs, FL, USA",preisman
"""been""","Lighthouse Point, FL, USA",preisman
"""been""","Niagara Falls, Ontario, Canada",preisman
"""been""","Buffalo, NY, USA",preisman
"""been""","Brisbane, Australia",preisman
"""been""","Lisbon, Portugal",preisman
"""been"",""fave""","Santorini, Greece",preisman
"""been""","Alice Springs, Australia",preisman
"""been""","Vero Beach, FL, USA",preisman
"""been""","Fort Dix, NJ, USA",preisman
"""been""","Alexandria, VA, USA",preisman
"""been""","Cairns, Australia",preisman
"""been""","Parkland, FL, USA",preisman
"""been""","Sunrise, FL, USA",preisman
"""been""","Phoenix, AZ, USA",preisman
"""been""","Margate, FL, USA",preisman
"""been""","Coconut Creek, FL, USA",preisman
"""been""","Cocoa Beach, FL, USA",preisman
"""been""","Detroit, MI, USA",preisman
"""been""","Lauderhill, FL, USA",preisman
"""been""","Santa Monica, CA, USA",preisman
"""been""","Kandahar, Afghanistan",preisman
"""been""","Lauderdale Lakes, FL, USA",preisman
"""been""","Toronto, Ontario, Canada",preisman
"""been""","Casablanca, Morocco",preisman
"""been""","Cozumel, Mexico",preisman
"""been""","Browns Mills, NJ, USA",preisman
"""been""","Singapore, Singapore",preisman
"""been"",""fave""","New York City, NY, USA",preisman
"""been""","Fort Worth, TX, USA",preisman
"""been""","Shanghai, China",preisman
"""been""","Cleveland, OH, USA",preisman
"""been""","Denton, TX, USA",preisman
"""been"",""fave""","Shiner, TX, USA",preisman
"""been""","Lake Worth, FL, USA",preisman
"""been""","Boynton Beach, FL, USA",preisman
"""been""","Madrid, Spain",preisman
"""been"",""fave""","Venice, Italy",preisman
"""been""","Cincinnati, OH, USA",preisman
"""been""","Titusville, FL, USA",preisman
