tag,place,user
"""been""","West Hollywood, CA, USA",princessboo
"""been""","Los Cristianos, Spain",princessboo
"""been""","Santa Monica, CA, USA",princessboo
"""been""","Arinsal, Andorra",princessboo
"""been""","Las Vegas, NV, USA",princessboo
"""been""","Ambleside, UK",princessboo
"""been""","Prague, Czech Republic",princessboo
"""been""","Liverpool, UK",princessboo
"""been""","Malcesine, Italy",princessboo
"""been""","Inverness, UK",princessboo
"""been""","York, UK",princessboo
"""been""","Manchester, UK",princessboo
"""been""","Lamai Beach, Thailand",princessboo
"""been""","Los Angeles, CA, USA",princessboo
