tag,place,user
"""been""","Malibu, CA, USA",prncess803
"""been""","Indianapolis, IN, USA",prncess803
"""been""","Manhattan Beach, CA, USA",prncess803
"""been""","Washington DC, DC, USA",prncess803
"""been""","Abilene, KS, USA",prncess803
"""been""","Norfolk, VA, USA",prncess803
"""been""","Columbus, GA, USA",prncess803
"""been""","Sarasota, FL, USA",prncess803
"""been""","Millersburg, OH, USA",prncess803
"""been""","McPherson, KS, USA",prncess803
"""been""","Eureka Springs, AR, USA",prncess803
"""been""","Glendora, CA, USA",prncess803
"""been""","Birmingham, AL, USA",prncess803
"""been""","Norton, OH, USA",prncess803
"""been""","North Ridgeville, OH, USA",prncess803
"""been""","Daytona Beach, FL, USA",prncess803
"""been""","Youngstown, OH, USA",prncess803
"""been""","Uniontown, OH, USA",prncess803
"""been""","Twinsburg, OH, USA",prncess803
"""been""","Roanoke, VA, USA",prncess803
"""been""","Christiansburg, VA, USA",prncess803
"""been""","Dodge City, KS, USA",prncess803
"""been""","Marina del Rey, CA, USA",prncess803
"""been"",""fave""","Hillsboro, KS, USA",prncess803
"""been""","North Canton, OH, USA",prncess803
"""been""","Portage Lakes, OH, USA",prncess803
"""been""","Hiawassee, GA, USA",prncess803
"""been""","Shenandoah National Park, VA, USA",prncess803
"""been""","Los Angeles, CA, USA",prncess803
"""been""","Cherrylog, GA, USA",prncess803
"""been""","Wooster, OH, USA",prncess803
"""been""","Berlin, OH, USA",prncess803
"""been"",""fave""","Natural Bridge, VA, USA",prncess803
"""been""","Chickamauga, GA, USA",prncess803
"""been""","Lagrange, OH, USA",prncess803
"""been""","Morgantown, WV, USA",prncess803
"""been""","Seal Beach, CA, USA",prncess803
"""been""","Manhattan, KS, USA",prncess803
"""been""","Ravenna, OH, USA",prncess803
"""been""","Helen, GA, USA",prncess803
"""been""","Salina, KS, USA",prncess803
"""been""","Hershey, PA, USA",prncess803
"""been""","Medina, OH, USA",prncess803
"""been""","Randolph, OH, USA",prncess803
"""been""","Amherst, OH, USA",prncess803
"""been""","Saint Louis, MO, USA",prncess803
"""been""","Saint Augustine Beach, FL, USA",prncess803
"""been""","Downey, CA, USA",prncess803
"""been""","Savannah, GA, USA",prncess803
"""been""","Put in Bay, OH, USA",prncess803
"""been""","Newport Beach, CA, USA",prncess803
"""been""","Council Grove, KS, USA",prncess803
"""been""","Council Bluffs, IA, USA",prncess803
"""been""","Toledo, OH, USA",prncess803
"""been""","Covington, KY, USA",prncess803
"""been""","Crystal River, FL, USA",prncess803
"""been""","Frankenmuth, MI, USA",prncess803
"""been""","Great Smoky Mountains National Park, TN, USA",prncess803
"""been""","Calhoun, GA, USA",prncess803
"""been""","Huntington Beach, CA, USA",prncess803
"""been""","Essex, IA, USA",prncess803
"""been"",""fave""","Walt Disney World, FL, USA",prncess803
"""been""","Bath, OH, USA",prncess803
"""been""","Port Clinton, OH, USA",prncess803
"""been""","Santa Ana, CA, USA",prncess803
"""been""","Lindsborg, KS, USA",prncess803
"""been""","Tallmadge, OH, USA",prncess803
"""been""","Mount Baldy, CA, USA",prncess803
"""been""","New Philadelphia, OH, USA",prncess803
