tag,place,user
"""been""","Phuket Town, Thailand",rubybouvier
"""been""","Salt Lake City, UT, USA",rubybouvier
"""want""","Cape Town Central, South Africa",rubybouvier
"""been""","Orlando, FL, USA",rubybouvier
"""been""","Jacksonville, FL, USA",rubybouvier
"""been""","Monument Valley, UT, USA",rubybouvier
"""been""","Detroit, MI, USA",rubybouvier
"""been"",""want""","Shanghai, China",rubybouvier
"""been""","Kusadasi, Turkey",rubybouvier
"""been""","Puerto Aventuras, Mexico",rubybouvier
"""been""","Teaneck, NJ, USA",rubybouvier
"""been""","Nha Trang, Vietnam",rubybouvier
"""been""","Toronto, Ontario, Canada",rubybouvier
"""been""","Ho Chi Minh City, Vietnam",rubybouvier
"""been""","Ninh Binh, Vietnam",rubybouvier
"""been""","Halong Bay, Vietnam",rubybouvier
"""been""","Astoria, NY, USA",rubybouvier
"""been"",""fave""","Hanoi, Vietnam",rubybouvier
"""been""","Jackson, WY, USA",rubybouvier
"""been""","Manitou Springs, CO, USA",rubybouvier
"""been""","Steamboat Springs, CO, USA",rubybouvier
"""been""","Evergreen, CO, USA",rubybouvier
"""been""","Boca Raton, FL, USA",rubybouvier
"""been""","Hai Phong, Vietnam",rubybouvier
"""been""","Englewood, CO, USA",rubybouvier
"""been""","Sedona, AZ, USA",rubybouvier
"""been""","Snowmass Village, CO, USA",rubybouvier
"""been""","Loveland, CO, USA",rubybouvier
"""been""","Scottsdale, AZ, USA",rubybouvier
"""want""","Lisbon, Portugal",rubybouvier
"""been""","North Myrtle Beach, SC, USA",rubybouvier
"""been""","Fethiye, Turkey",rubybouvier
"""been""","Urgup, Turkey",rubybouvier
"""been""","Sayulita, Mexico",rubybouvier
"""been""","Troncones, Mexico",rubybouvier
"""want""","Marmaris, Turkey",rubybouvier
"""want""","Phnom Penh, Cambodia",rubybouvier
"""want""","Florence, Italy",rubybouvier
"""been""","Kayseri, Turkey",rubybouvier
"""been""","Goreme, Turkey",rubybouvier
"""been""","Raton, NM, USA",rubybouvier
"""been""","Valencia, Spain",rubybouvier
"""been""","Eldorado Springs, CO, USA",rubybouvier
"""been""","Jakarta, Indonesia",rubybouvier
"""been""","Yelapa, Mexico",rubybouvier
"""been""","Manhattan Beach, CA, USA",rubybouvier
"""want""","Tallinn, Estonia",rubybouvier
"""been""","Littleton, CO, USA",rubybouvier
"""been""","Malibu, CA, USA",rubybouvier
"""been""","Palm Beach, FL, USA",rubybouvier
"""been""","Puerto Penasco, Mexico",rubybouvier
"""been""","West Palm Beach, FL, USA",rubybouvier
"""been""","Walsenburg, CO, USA",rubybouvier
"""been""","Windermere, UK",rubybouvier
"""want""","Sorrento, Italy",rubybouvier
"""been""","Indianapolis, IN, USA",rubybouvier
"""want""","Capri, Italy",rubybouvier
"""been""","Morrison, CO, USA",rubybouvier
"""been""","Norfolk, VA, USA",rubybouvier
"""been""","Sanibel Island, FL, USA",rubybouvier
"""been""","San Jose del Cabo, Mexico",rubybouvier
"""been""","Sarasota, FL, USA",rubybouvier
"""been""","Luxor, Egypt",rubybouvier
"""been"",""want""","Luang Prabang, Laos",rubybouvier
