tag,place,user
"""want""","Orlando, FL, USA",ruthie87ontour
"""want""","Miami Beach, FL, USA",ruthie87ontour
"""want""","Amsterdam, The Netherlands",ruthie87ontour
"""been"",""want"",""fave""","New York City, NY, USA",ruthie87ontour
"""been"",""fave""","Los Angeles, CA, USA",ruthie87ontour
"""been""","Paris, France",ruthie87ontour
"""been""","Cannes, France",ruthie87ontour
"""been""","Bruges, Belgium",ruthie87ontour
"""been""","Noosa, Australia",ruthie87ontour
"""been""","Montreal, Quebec, Canada",ruthie87ontour
"""been""","Dublin, Ireland",ruthie87ontour
"""been""","Edinburgh, UK",ruthie87ontour
"""been""","Galway, Ireland",ruthie87ontour
"""been"",""want"",""fave""","San Francisco, CA, USA",ruthie87ontour
"""been""","Burbank, CA, USA",ruthie87ontour
"""been""","Santa Monica, CA, USA",ruthie87ontour
"""been""","Nice, France",ruthie87ontour
"""been""","Brussels, Belgium",ruthie87ontour
"""want""","Toronto, Ontario, Canada",ruthie87ontour
"""been""","Rome, Italy",ruthie87ontour
"""been""","Venice, Italy",ruthie87ontour
"""been""","Kilkenny, Ireland",ruthie87ontour
"""been""","London, UK",ruthie87ontour
"""been""","Killarney, Ireland",ruthie87ontour
"""been"",""want""","Boston, MA, USA",ruthie87ontour
"""want""","Niagara Falls, NY, USA",ruthie87ontour
"""been""","Raheny, Ireland",ruthie87ontour
"""been"",""want""","Vienna, Austria",ruthie87ontour
"""want""","Berlin, Germany",ruthie87ontour
"""been""","Copenhagen, Denmark",ruthie87ontour
"""been""","Belfast, UK",ruthie87ontour
"""been""","Helsingoer, Denmark",ruthie87ontour
"""want""","Tokyo, Japan",ruthie87ontour
"""want""","Washington DC, DC, USA",ruthie87ontour
"""want""","Baltimore, MD, USA",ruthie87ontour
"""been""","Salzburg, Austria",ruthie87ontour
"""been""","Brisbane, Australia",ruthie87ontour
"""been""","Melbourne, Australia",ruthie87ontour
"""want""","Barcelona, Spain",ruthie87ontour
"""been""","Alice Springs, Australia",ruthie87ontour
"""want""","Florence, Italy",ruthie87ontour
"""been""","Sydney, Australia",ruthie87ontour
"""want""","Taormina, Italy",ruthie87ontour
"""been""","Monte-Carlo, Monaco",ruthie87ontour
"""been""","Elizabeth, NJ, USA",ruthie87ontour
"""been"",""want""","Las Vegas, NV, USA",ruthie87ontour
"""been""","Milan, Italy",ruthie87ontour
"""been""","Waterford, Ireland",ruthie87ontour
"""been""","Sligo, Ireland",ruthie87ontour
"""want""","Honolulu, HI, USA",ruthie87ontour
"""been""","Grand Canyon National Park, AZ, USA",ruthie87ontour
"""been"",""want""","Chicago, IL, USA",ruthie87ontour
"""been""","Garda, Italy",ruthie87ontour
