tag,place,user
"""been""","Sequoia and Kings Canyon National Park, CA, USA",sableind
"""been""","Burbank, CA, USA",sableind
"""been""","Rancho Mirage, CA, USA",sableind
"""been""","Lakewood, CO, USA",sableind
"""been""","Palm Springs, CA, USA",sableind
"""been""","Santa Monica, CA, USA",sableind
"""been""","Anaheim, CA, USA",sableind
"""been""","San Diego, CA, USA",sableind
"""been""","Twentynine Palms, CA, USA",sableind
"""been""","Philadelphia, PA, USA",sableind
"""been""","Golden, CO, USA",sableind
"""been""","Greenwood, DE, USA",sableind
"""been""","Niagara Falls, Ontario, Canada",sableind
"""been""","Death Valley National Park, CA, USA",sableind
"""been""","Niagara Falls, NY, USA",sableind
"""been""","Coronado, CA, USA",sableind
"""been""","Morrison, CO, USA",sableind
"""been""","Colorado Springs, CO, USA",sableind
"""been""","Los Angeles, CA, USA",sableind
"""been""","La Jolla, CA, USA",sableind
"""been""","Denver, CO, USA",sableind
"""been""","Bakersfield, CA, USA",sableind
"""been""","Shelbyville, IN, USA",sableind
"""been""","Grand Canyon National Park, AZ, USA",sableind
"""been""","New York City, NY, USA",sableind
"""been""","Three Rivers, CA, USA",sableind
"""been""","Death Valley Junction, CA, USA",sableind
"""been""","Las Vegas, NV, USA",sableind
