tag,place,user
"""been""","Goettingen, Germany",samarium2019
"""been""","Arcachon, France",samarium2019
"""been""","Costa Teguise, Spain",samarium2019
"""been""","Beraban, Indonesia",samarium2019
"""been""","Pucon, Chile",samarium2019
"""been""","Chania Town, Greece",samarium2019
"""been""","Torres del Paine, Chile",samarium2019
"""been""","Lenakel, Vanuatu",samarium2019
"""been""","Nice, France",samarium2019
"""been""","Salt Lake City, UT, USA",samarium2019
"""been""","Monte-Carlo, Monaco",samarium2019
"""been""","Lido di Venezia, Italy",samarium2019
"""been""","Nephi, UT, USA",samarium2019
"""been""","Heraklion, Greece",samarium2019
"""been""","Wailea, HI, USA",samarium2019
"""been""","Dunedin, New Zealand",samarium2019
"""been""","Dubrovnik, Croatia",samarium2019
"""been""","Athens, Greece",samarium2019
"""been""","Odense, Denmark",samarium2019
"""been""","Easter Island, Chile",samarium2019
"""been""","Eftalou, Greece",samarium2019
"""been""","Cavelossim, India",samarium2019
"""been""","Gevgelija, Republic of North Macedonia",samarium2019
"""been""","Nashville, TN, USA",samarium2019
"""been""","Cottesloe, Australia",samarium2019
"""been""","Seoul, South Korea",samarium2019
"""been""","Reno, NV, USA",samarium2019
"""been""","Methoni, Greece",samarium2019
"""been""","Bergen, Norway",samarium2019
"""been""","Hamburg, Germany",samarium2019
"""been""","Auckland, New Zealand",samarium2019
"""been""","Hilo, HI, USA",samarium2019
"""been""","Frankfurt, Germany",samarium2019
"""been""","Ohrid, Republic of North Macedonia",samarium2019
"""been""","Melbourne, Australia",samarium2019
"""been""","Launceston, Australia",samarium2019
"""been""","Perth, Australia",samarium2019
"""been""","Edessa, Greece",samarium2019
"""been""","Auckland Central, New Zealand",samarium2019
"""been""","Lugano, Switzerland",samarium2019
"""been""","Tabanan, Indonesia",samarium2019
"""been""","Machali, Chile",samarium2019
"""been""","Mengwi, Indonesia",samarium2019
"""been""","Kastoria, Greece",samarium2019
"""been""","Point Reyes Station, CA, USA",samarium2019
"""been""","Bremen, Germany",samarium2019
"""been""","Munduk, Indonesia",samarium2019
"""been""","Berlin, Germany",samarium2019
"""been""","Naxos Town, Greece",samarium2019
"""been""","Turda, Romania",samarium2019
"""been""","Panjim, India",samarium2019
"""been""","Chicago, IL, USA",samarium2019
"""been""","Morlaix, France",samarium2019
"""been""","Salzburg, Austria",samarium2019
"""been""","Carcassonne Center, France",samarium2019
"""been""","Gieboldehausen, Germany",samarium2019
