tag,place,user
"""been""","Punta Cana, Dominican Republic",sandochavez
"""been""","New York City, NY, USA",sandochavez
"""been""","San Carlos, Costa Rica",sandochavez
"""been""","El Valle de Anton, Panama",sandochavez
"""been""","Puerto Plata, Dominican Republic",sandochavez
"""been""","Santa Catarina Pinula, Guatemala",sandochavez
"""been""","Rome, Italy",sandochavez
"""been""","Cienfuegos, Cuba",sandochavez
"""been""","Gamboa, Panama",sandochavez
"""been""","Rivas, Nicaragua",sandochavez
"""been""","Vina del Mar, Chile",sandochavez
"""been""","Santa Barbara, Costa Rica",sandochavez
"""been""","Granada, Nicaragua",sandochavez
"""been""","Santiago de Veraguas, Panama",sandochavez
"""been""","Tapachula, Mexico",sandochavez
"""been""","Guadalajara, Mexico",sandochavez
"""been""","Santa Barbara, CA, USA",sandochavez
"""been""","Guatemala City, Guatemala",sandochavez
"""been""","Valparaiso, Chile",sandochavez
"""been""","Santiago, Chile",sandochavez
"""been""","Quito, Ecuador",sandochavez
"""been""","San Jose, Costa Rica",sandochavez
"""been""","Colon, Panama",sandochavez
"""been""","Stuart, FL, USA",sandochavez
"""been""","Beverly Hills, CA, USA",sandochavez
"""been""","Leon, Nicaragua",sandochavez
"""been""","Havana, Cuba",sandochavez
"""been""","San Bernardo, Chile",sandochavez
"""been""","Coban, Guatemala",sandochavez
"""been""","Mexico City, Mexico",sandochavez
"""been""","Arecibo, Puerto Rico",sandochavez
"""been""","San Salvador, El Salvador",sandochavez
"""been""","Antigua, Guatemala",sandochavez
"""been""","Brooklyn, NY, USA",sandochavez
"""been""","Bogota, Colombia",sandochavez
"""been""","Quetzaltenango, Guatemala",sandochavez
"""been""","Managua, Nicaragua",sandochavez
"""been""","San Juan, Puerto Rico",sandochavez
"""been""","Masaya, Nicaragua",sandochavez
"""been""","San Jose del Cabo, Mexico",sandochavez
"""been""","Cabo San Lucas, Mexico",sandochavez
"""been""","Retalhuleu, Guatemala",sandochavez
"""been""","Fajardo, Puerto Rico",sandochavez
"""been""","San Jorge, Nicaragua",sandochavez
"""been""","Miami Beach, FL, USA",sandochavez
"""been""","Cartagena, Colombia",sandochavez
"""been""","La Libertad, El Salvador",sandochavez
"""been""","Panama City, Panama",sandochavez
"""been""","Fraijanes, Costa Rica",sandochavez
"""been""","Cartago, Costa Rica",sandochavez
"""been""","Oranjestad, Aruba",sandochavez
"""been""","Manuel Antonio, Costa Rica",sandochavez
"""been""","Ponce, Puerto Rico",sandochavez
"""been""","Santo Domingo, Dominican Republic",sandochavez
"""been""","Jaco, Costa Rica",sandochavez
"""been""","San Pedro Sula, Honduras",sandochavez
"""been""","Los Angeles, CA, USA",sandochavez
"""been""","Miami, FL, USA",sandochavez
