tag,place,user
"""been""","Darwin, Australia",sarahmB9853ZR
"""been""","Chiyoda, Japan",sarahmB9853ZR
"""been""","Mont-Saint-Michel, France",sarahmB9853ZR
"""been""","Shinjuku, Japan",sarahmB9853ZR
"""been""","Edogawa, Japan",sarahmB9853ZR
"""been""","Singapore, Singapore",sarahmB9853ZR
"""been""","Los Angeles, CA, USA",sarahmB9853ZR
"""been""","Oxford, UK",sarahmB9853ZR
"""been""","Rochester, UK",sarahmB9853ZR
"""been""","Amboise, France",sarahmB9853ZR
"""been""","Kyoto, Japan",sarahmB9853ZR
"""been""","New Orleans, LA, USA",sarahmB9853ZR
"""been""","Hiroshima, Japan",sarahmB9853ZR
"""been""","Chinon, France",sarahmB9853ZR
"""been""","London, UK",sarahmB9853ZR
"""been""","St. Albans, UK",sarahmB9853ZR
"""been""","Krakow, Poland",sarahmB9853ZR
