tag,place,user
"""want""","Paris, France",saranicolexoxo
"""been""","El Segundo, CA, USA",saranicolexoxo
"""been""","Newport Beach, CA, USA",saranicolexoxo
"""been""","Wailea, HI, USA",saranicolexoxo
"""been"",""fave""","Laguna Beach, CA, USA",saranicolexoxo
"""been""","Rancho Mirage, CA, USA",saranicolexoxo
"""been""","Anaheim, CA, USA",saranicolexoxo
"""been""","Saint Louis, MO, USA",saranicolexoxo
"""want""","Seven Mile Beach, Cayman Islands",saranicolexoxo
"""been""","Beverly Hills, CA, USA",saranicolexoxo
"""been""","Kapaa, HI, USA",saranicolexoxo
"""want""","Athens, Greece",saranicolexoxo
"""been""","Hanamaulu, HI, USA",saranicolexoxo
"""been""","Koloa, HI, USA",saranicolexoxo
"""been""","Aspen, CO, USA",saranicolexoxo
"""been""","Chicago, IL, USA",saranicolexoxo
"""been"",""fave""","Miami Beach, FL, USA",saranicolexoxo
"""been""","Los Angeles, CA, USA",saranicolexoxo
"""been""","La Jolla, CA, USA",saranicolexoxo
"""been""","Louisville, KY, USA",saranicolexoxo
"""been""","Pasadena, CA, USA",saranicolexoxo
"""been""","Montego Bay, Jamaica",saranicolexoxo
"""been"",""fave""","Negril, Jamaica",saranicolexoxo
"""been"",""fave""","Poipu, HI, USA",saranicolexoxo
"""been"",""fave""","Las Vegas, NV, USA",saranicolexoxo
"""been""","Lihue, HI, USA",saranicolexoxo
"""want""","Barcelona, Spain",saranicolexoxo
"""want""","Sydney, Australia",saranicolexoxo
"""been""","East Elmhurst, NY, USA",saranicolexoxo
"""been"",""fave""","Kihei, HI, USA",saranicolexoxo
"""been""","Kahului, HI, USA",saranicolexoxo
"""been""","Phoenix, AZ, USA",saranicolexoxo
"""been""","Tucson, AZ, USA",saranicolexoxo
"""been""","Santa Monica, CA, USA",saranicolexoxo
"""been""","San Diego, CA, USA",saranicolexoxo
"""been""","West Hollywood, CA, USA",saranicolexoxo
"""been""","Scottsdale, AZ, USA",saranicolexoxo
"""been""","Lakewood, CA, USA",saranicolexoxo
"""been""","Palm Springs, CA, USA",saranicolexoxo
"""been""","Long Beach, CA, USA",saranicolexoxo
"""been""","Palm Desert, CA, USA",saranicolexoxo
"""want""","Rio de Janeiro, Brazil",saranicolexoxo
"""want""","Tokyo, Japan",saranicolexoxo
"""been""","Lahaina, HI, USA",saranicolexoxo
"""been""","Santa Barbara, CA, USA",saranicolexoxo
"""want""","New York City, NY, USA",saranicolexoxo
"""want""","Cancun, Mexico",saranicolexoxo
"""want""","Dubai, United Arab Emirates",saranicolexoxo
"""been""","Cerritos, CA, USA",saranicolexoxo
"""want""","Nassau, Bahamas",saranicolexoxo
"""been""","Malibu, CA, USA",saranicolexoxo
"""been""","Norwalk, CA, USA",saranicolexoxo
"""been""","Dana Point, CA, USA",saranicolexoxo
"""been""","Manhattan Beach, CA, USA",saranicolexoxo
"""want""","Puerto Plata, Dominican Republic",saranicolexoxo
"""been""","Little Rock, AR, USA",saranicolexoxo
