tag,place,user
"""want""","Barcelona, Spain",savanhub
"""been""","New Orleans, LA, USA",savanhub
"""want""","Venice, Italy",savanhub
"""been""","Honolulu, HI, USA",savanhub
"""been""","New York City, NY, USA",savanhub
"""want""","Rome, Italy",savanhub
"""been""","San Jose, Costa Rica",savanhub
"""want""","Dubai, United Arab Emirates",savanhub
"""want""","Florence, Italy",savanhub
"""been""","Cancun, Mexico",savanhub
"""been""","Madrid, Spain",savanhub
"""been""","Harare, Zimbabwe",savanhub
"""been""","Kauai, HI, USA",savanhub
"""been""","Los Angeles, CA, USA",savanhub
"""been""","Chicago, IL, USA",savanhub
"""been""","Johannesburg, South Africa",savanhub
"""want""","Amsterdam, The Netherlands",savanhub
"""been""","Kaneohe, HI, USA",savanhub
"""been""","Phoenix, AZ, USA",savanhub
"""want""","Tokyo, Japan",savanhub
"""been""","San Francisco, CA, USA",savanhub
"""been""","Lahaina, HI, USA",savanhub
"""want""","Paris, France",savanhub
"""want""","Berlin, Germany",savanhub
"""been""","Pearland, TX, USA",savanhub
"""been""","Manchester, UK",savanhub
"""want""","Istanbul, Turkey",savanhub
"""been""","La Porte, TX, USA",savanhub
"""been""","London, UK",savanhub
"""been""","Oranjestad, Aruba",savanhub
"""want""","Singapore, Singapore",savanhub
"""been""","Savannah, GA, USA",savanhub
"""want""","Milan, Italy",savanhub
"""been""","Francistown, Botswana",savanhub
"""been""","Nashville, TN, USA",savanhub
"""been""","Maui, HI, USA",savanhub
"""been""","Washington DC, DC, USA",savanhub
"""been""","Bulawayo, Zimbabwe",savanhub
"""been""","Long Beach, CA, USA",savanhub
