tag,place,user
"""been""","Las Vegas, NV, USA",silvergypsy45
"""been""","Biloxi, MS, USA",silvergypsy45
"""been""","Gaithersburg, MD, USA",silvergypsy45
"""been""","Cumberland, MD, USA",silvergypsy45
"""been""","Flintstone, MD, USA",silvergypsy45
"""been""","Boulder City, NV, USA",silvergypsy45
"""want""","Billings, MT, USA",silvergypsy45
"""been""","Columbia, MD, USA",silvergypsy45
"""been""","Cape May, NJ, USA",silvergypsy45
"""been""","Cleveland, OH, USA",silvergypsy45
"""been""","York, PA, USA",silvergypsy45
"""been""","Washington DC, DC, USA",silvergypsy45
"""been""","Point Clear, AL, USA",silvergypsy45
"""been""","Budapest, Hungary",silvergypsy45
"""been""","Phoenix, AZ, USA",silvergypsy45
"""been""","New York City, NY, USA",silvergypsy45
"""been""","Santa Monica, CA, USA",silvergypsy45
"""been""","Frederick, MD, USA",silvergypsy45
