tag,place,user
"""been""","McAllen, TX, USA",spilcher26
"""been""","Kyle, SD, USA",spilcher26
"""been""","San Francisco, CA, USA",spilcher26
"""been""","Yellowstone National Park, WY, USA",spilcher26
"""been""","Casper, WY, USA",spilcher26
"""been""","Green River, WY, USA",spilcher26
"""been""","San Diego, CA, USA",spilcher26
"""been""","Fairfield, CA, USA",spilcher26
"""been""","Lusk, WY, USA",spilcher26
"""been""","Phoenix, AZ, USA",spilcher26
"""been""","Mammoth Lakes, CA, USA",spilcher26
"""been""","Tijuana, Mexico",spilcher26
"""been""","Gillette, WY, USA",spilcher26
"""been""","Napa, CA, USA",spilcher26
"""been""","Rosarito, Mexico",spilcher26
"""been""","Devils Tower, WY, USA",spilcher26
"""been""","Winnemucca, NV, USA",spilcher26
"""been""","Wells, NV, USA",spilcher26
"""been""","Chadron, NE, USA",spilcher26
"""been""","Taos, NM, USA",spilcher26
"""been""","Las Vegas, NV, USA",spilcher26
"""been""","Rushville, NE, USA",spilcher26
"""been""","Keystone, SD, USA",spilcher26
"""been""","Lovelock, NV, USA",spilcher26
"""been""","Custer, SD, USA",spilcher26
"""been""","Rock Springs, WY, USA",spilcher26
"""been""","Laramie, WY, USA",spilcher26
"""been""","Houston, TX, USA",spilcher26
"""been""","Los Angeles, CA, USA",spilcher26
"""been""","Reliance, WY, USA",spilcher26
"""been""","Sonora, TX, USA",spilcher26
"""been""","Idaho Falls, ID, USA",spilcher26
"""been""","Denver, CO, USA",spilcher26
"""been""","Evanston, WY, USA",spilcher26
"""been""","Rio Rancho, NM, USA",spilcher26
"""been""","Evansville, WY, USA",spilcher26
"""been""","Monterey, CA, USA",spilcher26
"""been""","Sturgis, SD, USA",spilcher26
"""been""","West Yellowstone, MT, USA",spilcher26
"""been""","Reno, NV, USA",spilcher26
"""been""","Sparks, NV, USA",spilcher26
"""been"",""want""","Paris, France",spilcher26
"""been""","Versailles, France",spilcher26
"""been""","Salisbury, UK",spilcher26
"""been""","South Lake Tahoe, CA, USA",spilcher26
"""been"",""want""","London, UK",spilcher26
"""been""","Battle Mountain, NV, USA",spilcher26
"""been""","Rawlins, WY, USA",spilcher26
"""been""","Windsor, UK",spilcher26
"""been""","Albuquerque, NM, USA",spilcher26
"""been""","Reynosa, Mexico",spilcher26
"""been""","Rapid City, SD, USA",spilcher26
"""been""","Manderson, SD, USA",spilcher26
"""been""","Trinidad, CO, USA",spilcher26
"""been""","Las Cruces, NM, USA",spilcher26
"""been""","Douglas, WY, USA",spilcher26
"""been""","Oglala, SD, USA",spilcher26
"""been""","Gordon, NE, USA",spilcher26
"""been""","Whiteclay, NE, USA",spilcher26
"""been""","Wendover, UT, USA",spilcher26
"""been""","Santa Cruz, CA, USA",spilcher26
"""been""","Wounded Knee, SD, USA",spilcher26
"""been""","Twin Falls, ID, USA",spilcher26
"""been""","Salt Lake City, UT, USA",spilcher26
"""been""","Pine Ridge, SD, USA",spilcher26
"""been""","Big Sur, CA, USA",spilcher26
"""been""","Santa Barbara, CA, USA",spilcher26
"""been""","Cody, WY, USA",spilcher26
"""been""","Colorado Springs, CO, USA",spilcher26
"""been""","Porcupine, SD, USA",spilcher26
"""been""","New York City, NY, USA",spilcher26
"""been""","Hill City, SD, USA",spilcher26
"""want""","Vancouver, British Columbia, Canada",spilcher26
"""been""","Oxford, UK",spilcher26
"""been""","Beverly Hills, CA, USA",spilcher26
"""been""","Cheyenne, WY, USA",spilcher26
"""been""","San Antonio, TX, USA",spilcher26
"""been""","Elko, NV, USA",spilcher26
"""been""","Santa Fe, NM, USA",spilcher26
