tag,place,user
"""been""","San Luis Obispo, CA, USA",suks
"""been""","Boston, MA, USA",suks
"""been""","Toronto, Ontario, Canada",suks
"""been""","Sonoma, CA, USA",suks
"""been""","San Francisco, CA, USA",suks
"""been""","Orlando, FL, USA",suks
"""been""","Niagara Falls, Ontario, Canada",suks
"""been""","Mississauga, Ontario, Canada",suks
"""been""","Napa, CA, USA",suks
"""been""","Santa Monica, CA, USA",suks
"""been""","Rome, Italy",suks
"""been""","Little River, CA, USA",suks
"""been""","Blue Mountains, Ontario, Canada",suks
"""been""","Marbella, Spain",suks
"""been""","London, UK",suks
"""been""","Monterey, CA, USA",suks
"""been""","Adare, Ireland",suks
"""been""","Mijas, Spain",suks
"""been""","Las Vegas, NV, USA",suks
"""been""","Washington DC, DC, USA",suks
"""been""","Pech-Luna, France",suks
"""been""","New York City, NY, USA",suks
"""been""","Brewster, MA, USA",suks
