tag,place,user
"""been""","Dallas, TX, USA",summervilla157
"""been""","San Bernardino, CA, USA",summervilla157
"""been""","Barstow, CA, USA",summervilla157
"""been""","Dana Point, CA, USA",summervilla157
"""want""","Dublin, Ireland",summervilla157
"""been""","Malibu, CA, USA",summervilla157
"""been""","Reno, NV, USA",summervilla157
"""been""","Indianapolis, IN, USA",summervilla157
"""want""","Honolulu, HI, USA",summervilla157
"""been""","Washington DC, DC, USA",summervilla157
"""been""","Oxnard, CA, USA",summervilla157
"""been""","Boise, ID, USA",summervilla157
"""want""","Paris, France",summervilla157
"""been""","Deming, NM, USA",summervilla157
"""been""","Kansas City, MO, USA",summervilla157
"""been"",""fave""","Sedona, AZ, USA",summervilla157
"""been""","Mariposa, CA, USA",summervilla157
"""want""","London, UK",summervilla157
"""been"",""fave""","North Pole, AK, USA",summervilla157
"""want""","Liverpool, UK",summervilla157
"""been""","Mexico City, Mexico",summervilla157
"""been""","West Hollywood, CA, USA",summervilla157
"""been""","Scottsdale, AZ, USA",summervilla157
"""been""","Big Sur, CA, USA",summervilla157
"""been""","Palm Desert, CA, USA",summervilla157
"""been""","Palm Springs, CA, USA",summervilla157
"""been""","Flagstaff, AZ, USA",summervilla157
"""been""","Palmdale, CA, USA",summervilla157
"""been""","Carlsbad, CA, USA",summervilla157
"""been""","Kenai Fjords National Park, AK, USA",summervilla157
"""been"",""fave""","Anaheim, CA, USA",summervilla157
"""been""","Olathe, KS, USA",summervilla157
"""been""","Girdwood, AK, USA",summervilla157
"""been""","Denver, CO, USA",summervilla157
"""been""","San Luis Obispo, CA, USA",summervilla157
"""been"",""fave""","Carmel, CA, USA",summervilla157
"""been""","San Jose, CA, USA",summervilla157
"""been""","Monterey, CA, USA",summervilla157
"""been"",""fave""","Homer, AK, USA",summervilla157
"""been""","Branson, MO, USA",summervilla157
"""been""","Ventura, CA, USA",summervilla157
"""been""","La Jolla, CA, USA",summervilla157
"""been""","Salt Lake City, UT, USA",summervilla157
"""been""","El Paso, TX, USA",summervilla157
"""want""","Orlando, FL, USA",summervilla157
"""been""","Fort Worth, TX, USA",summervilla157
"""been""","Cleveland, OH, USA",summervilla157
"""want""","New York City, NY, USA",summervilla157
"""been""","Anchorage, AK, USA",summervilla157
"""been""","Alamogordo, NM, USA",summervilla157
"""been""","Avalon, CA, USA",summervilla157
"""been""","Cayucos, CA, USA",summervilla157
"""been""","La Quinta, CA, USA",summervilla157
"""been""","Amarillo, TX, USA",summervilla157
"""been""","Irving, TX, USA",summervilla157
"""been""","Shamrock, TX, USA",summervilla157
"""been""","Pearblossom, CA, USA",summervilla157
"""been"",""fave""","Morro Bay, CA, USA",summervilla157
"""been""","Winslow, AZ, USA",summervilla157
"""been""","Vail, CO, USA",summervilla157
"""been""","San Simeon, CA, USA",summervilla157
"""been""","Laguna Beach, CA, USA",summervilla157
"""been"",""fave""","Seward, AK, USA",summervilla157
"""want""","Kailua-Kona, HI, USA",summervilla157
"""been""","Cincinnati, OH, USA",summervilla157
"""been""","San Diego, CA, USA",summervilla157
"""been""","Beverly Hills, CA, USA",summervilla157
"""been""","Santa Cruz, CA, USA",summervilla157
"""been""","Santa Barbara, CA, USA",summervilla157
"""want""","Rome, Italy",summervilla157
"""been""","Temecula, CA, USA",summervilla157
"""been""","Lake Havasu City, AZ, USA",summervilla157
"""been""","Arcadia, CA, USA",summervilla157
"""been"",""want"",""fave""","Fairbanks, AK, USA",summervilla157
"""been""","Sacramento, CA, USA",summervilla157
"""been""","Chattanooga, TN, USA",summervilla157
"""been"",""fave""","Huntington Beach, CA, USA",summervilla157
"""been""","Phelan, CA, USA",summervilla157
"""been""","Columbus, OH, USA",summervilla157
"""been""","West Yellowstone, MT, USA",summervilla157
"""been""","Apple Valley, CA, USA",summervilla157
"""want""","Cairo, Egypt",summervilla157
"""been"",""fave""","Valdez, AK, USA",summervilla157
"""been""","Phoenix, AZ, USA",summervilla157
"""been"",""fave""","Buena Park, CA, USA",summervilla157
"""been""","Santa Rosa, CA, USA",summervilla157
"""been""","Santa Monica, CA, USA",summervilla157
"""want""","Athens, Greece",summervilla157
"""been""","Yermo, CA, USA",summervilla157
"""been""","Oklahoma City, OK, USA",summervilla157
"""been""","Long Beach, CA, USA",summervilla157
"""been""","South Lake Tahoe, CA, USA",summervilla157
"""been""","Corona, CA, USA",summervilla157
"""want""","Brisbane, Australia",summervilla157
"""been""","Napa, CA, USA",summervilla157
"""been""","Albuquerque, NM, USA",summervilla157
"""been""","Roswell, NM, USA",summervilla157
"""been""","Norman, OK, USA",summervilla157
"""been""","Baltimore, MD, USA",summervilla157
"""been""","Nashville, TN, USA",summervilla157
"""been""","Atlanta, GA, USA",summervilla157
"""want""","Tallinn, Estonia",summervilla157
"""been""","Park City, UT, USA",summervilla157
"""been""","Henderson, NV, USA",summervilla157
"""been""","Louisville, KY, USA",summervilla157
"""been""","Colby, KS, USA",summervilla157
"""been""","Cabazon, CA, USA",summervilla157
"""been""","Snyder, TX, USA",summervilla157
"""been""","Pismo Beach, CA, USA",summervilla157
"""been""","Victorville, CA, USA",summervilla157
"""been""","Memphis, TN, USA",summervilla157
"""want""","Edinburgh, UK",summervilla157
"""want""","Sydney, Australia",summervilla157
"""been""","Hesperia, CA, USA",summervilla157
"""been""","Pleasant Valley, AK, USA",summervilla157
"""been""","Puerto Vallarta, Mexico",summervilla157
"""been""","Chicago, IL, USA",summervilla157
"""been""","Fox, AK, USA",summervilla157
"""been""","Knoxville, TN, USA",summervilla157
"""been""","Mazatlan, Mexico",summervilla157
"""been""","Somis, CA, USA",summervilla157
"""been""","Los Angeles, CA, USA",summervilla157
"""been""","Sonoma, CA, USA",summervilla157
"""been""","Oakland, CA, USA",summervilla157
"""been""","Fresno, CA, USA",summervilla157
"""been""","Moab, UT, USA",summervilla157
"""been""","Guadalajara, Mexico",summervilla157
"""been""","Laughlin, NV, USA",summervilla157
"""been""","Las Vegas, NV, USA",summervilla157
"""been""","Newport Beach, CA, USA",summervilla157
"""been""","Santa Fe, NM, USA",summervilla157
"""been""","Ontario, CA, USA",summervilla157
"""been""","San Francisco, CA, USA",summervilla157
"""been""","Rancho Mirage, CA, USA",summervilla157
"""been""","Camarillo, CA, USA",summervilla157
"""been""","Cambria, CA, USA",summervilla157
"""been""","Rancho Cucamonga, CA, USA",summervilla157
"""been""","Tucson, AZ, USA",summervilla157
