tag,place,user
"""been""","Houston, TX, USA",sun5hine56
"""been""","Santa Barbara, CA, USA",sun5hine56
"""been""","New York City, NY, USA",sun5hine56
"""been""","Honolulu, HI, USA",sun5hine56
"""been""","Patong, Thailand",sun5hine56
"""been""","Ventura, CA, USA",sun5hine56
"""been""","Los Angeles, CA, USA",sun5hine56
"""been""","Orlando, FL, USA",sun5hine56
"""been""","Paris, France",sun5hine56
"""been""","Fresno, CA, USA",sun5hine56
"""been""","Tampa, FL, USA",sun5hine56
"""been""","Malibu, CA, USA",sun5hine56
"""been""","Sacramento, CA, USA",sun5hine56
"""been""","London, UK",sun5hine56
"""been""","Pasadena, CA, USA",sun5hine56
"""been""","Las Vegas, NV, USA",sun5hine56
"""been""","West Hollywood, CA, USA",sun5hine56
"""been""","Newport Beach, CA, USA",sun5hine56
"""been""","Sedona, AZ, USA",sun5hine56
"""want""","Rome, Italy",sun5hine56
"""been""","Phoenix, AZ, USA",sun5hine56
"""been""","Barcelona, Spain",sun5hine56
"""been""","San Antonio, TX, USA",sun5hine56
"""been""","Anaheim, CA, USA",sun5hine56
"""been""","Laguna Beach, CA, USA",sun5hine56
"""been""","Seminyak, Indonesia",sun5hine56
"""been""","Long Beach, CA, USA",sun5hine56
"""been"",""want""","Madrid, Spain",sun5hine56
"""been""","Palm Springs, CA, USA",sun5hine56
"""been""","Ontario, CA, USA",sun5hine56
"""been""","San Diego, CA, USA",sun5hine56
"""been""","Gili Trawangan, Indonesia",sun5hine56
"""been""","Reno, NV, USA",sun5hine56
"""been""","Henderson, NV, USA",sun5hine56
"""been""","Cabo San Lucas, Mexico",sun5hine56
"""been""","Daytona Beach, FL, USA",sun5hine56
"""been""","Beverly Hills, CA, USA",sun5hine56
