tag,place,user
"""been""","Greifswald, Germany",supercharger5150
"""been""","Denver, CO, USA",supercharger5150
"""want""","New York City, NY, USA",supercharger5150
"""want""","Honolulu, HI, USA",supercharger5150
"""been""","Cody, WY, USA",supercharger5150
"""been""","Colorado Springs, CO, USA",supercharger5150
"""been""","Malibu, CA, USA",supercharger5150
"""been""","Malmo, Sweden",supercharger5150
"""been""","Los Angeles, CA, USA",supercharger5150
"""been""","Laramie, WY, USA",supercharger5150
"""been""","Little Rock, AR, USA",supercharger5150
"""been""","Boulder, CO, USA",supercharger5150
"""been""","Gothenburg, Sweden",supercharger5150
"""been"",""fave""","Stockholm, Sweden",supercharger5150
"""been""","Cabo San Lucas, Mexico",supercharger5150
"""want""","Las Vegas, NV, USA",supercharger5150
"""been""","San Jose del Cabo, Mexico",supercharger5150
"""been""","Jamestown, NY, USA",supercharger5150
"""want""","Rome, Italy",supercharger5150
"""been""","Estes Park, CO, USA",supercharger5150
"""been""","Trelleborg, Sweden",supercharger5150
"""been""","Santa Monica, CA, USA",supercharger5150
"""been""","Greeley, CO, USA",supercharger5150
"""been""","Berlin, Germany",supercharger5150
"""been""","Hot Springs, AR, USA",supercharger5150
"""been""","Casper, WY, USA",supercharger5150
"""been""","Lafayette, CO, USA",supercharger5150
"""been""","Stralsund, Germany",supercharger5150
"""been""","Hot Springs Village, AR, USA",supercharger5150
"""been"",""fave""","Kyoto, Japan",supercharger5150
"""been""","Devils Tower, WY, USA",supercharger5150
"""been""","Glendo, WY, USA",supercharger5150
"""been""","Osaka, Japan",supercharger5150
"""been""","Pine Bluff, AR, USA",supercharger5150
"""want""","London, UK",supercharger5150
"""want""","Tokyo, Japan",supercharger5150
"""been""","Cheyenne, WY, USA",supercharger5150
"""been""","Sellin, Germany",supercharger5150
