tag,place,user
"""want""","Saint Julian's, Malta",susankX5159WC
"""want""","Gumbet, Turkey",susankX5159WC
"""been""","North Massapequa, NY, USA",susankX5159WC
"""been""","Redondo Beach, CA, USA",susankX5159WC
"""want""","Agra, India",susankX5159WC
"""want""","Watamu, Kenya",susankX5159WC
"""want""","Siena, Italy",susankX5159WC
"""want""","Taba, Egypt",susankX5159WC
"""want""","Ooty (Udhagamandalam), India",susankX5159WC
"""want""","St. John's, Antigua and Barbuda",susankX5159WC
"""want""","Udaipur, India",susankX5159WC
"""want""","Seven Mile Beach, Cayman Islands",susankX5159WC
"""want""","Sunny Beach, Bulgaria",susankX5159WC
"""want""","Sapporo, Japan",susankX5159WC
"""want""","Hiroshima, Japan",susankX5159WC
"""want""","Kobe, Japan",susankX5159WC
"""want""","Protaras, Cyprus",susankX5159WC
"""want""","Kata Beach, Thailand",susankX5159WC
"""want""","Port de Pollenca, Spain",susankX5159WC
"""been""","Montara, CA, USA",susankX5159WC
"""want""","Seoul, South Korea",susankX5159WC
"""been""","Monterey, CA, USA",susankX5159WC
"""want""","Hyderabad, India",susankX5159WC
"""want""","Guangzhou, China",susankX5159WC
"""want""","Isla Verde, Puerto Rico",susankX5159WC
"""want""","Bogota, Colombia",susankX5159WC
"""want""","Kota Kinabalu, Malaysia",susankX5159WC
"""want""","George Town, Malaysia",susankX5159WC
"""want""","Macau, China",susankX5159WC
"""want""","Nusa Dua, Indonesia",susankX5159WC
"""been""","Palm Springs, CA, USA",susankX5159WC
"""want""","Playa Maroma, Mexico",susankX5159WC
"""want""","Castries, St. Lucia",susankX5159WC
"""want""","Gros Islet, St. Lucia",susankX5159WC
"""want""","Turgutreis, Turkey",susankX5159WC
"""want""","Jimbaran, Indonesia",susankX5159WC
"""want""","Soufriere, St. Lucia",susankX5159WC
"""want""","Kuta, Indonesia",susankX5159WC
"""want""","Santa Eulalia del Rio, Spain",susankX5159WC
"""want""","Zermatt, Switzerland",susankX5159WC
"""want""","Cala'n Bosch, Spain",susankX5159WC
"""want""","Porto, Portugal",susankX5159WC
"""want""","Caleta de Fuste, Spain",susankX5159WC
"""want""","Otranto, Italy",susankX5159WC
"""want""","Cala Millor, Spain",susankX5159WC
"""want""","Budapest, Hungary",susankX5159WC
"""want""","Ocho Rios, Jamaica",susankX5159WC
"""want""","Busan, South Korea",susankX5159WC
"""want""","Runaway Bay, Jamaica",susankX5159WC
"""want""","Fortaleza, Brazil",susankX5159WC
"""been""","Arcadia, CA, USA",susankX5159WC
"""want""","Ca'n Picafort, Spain",susankX5159WC
"""want""","Cala d'Or, Spain",susankX5159WC
"""want""","Malia, Greece",susankX5159WC
"""want""","Doha, Qatar",susankX5159WC
"""want""","Calas de Majorca, Spain",susankX5159WC
"""want""","Laganas, Greece",susankX5159WC
"""want""","Kamari, Greece",susankX5159WC
"""want""","Onna-son, Japan",susankX5159WC
"""been""","San Juan, Puerto Rico",susankX5159WC
"""want""","Krakow, Poland",susankX5159WC
"""want""","Playa de Palma, Spain",susankX5159WC
"""want""","Merida, Mexico",susankX5159WC
"""want""","Makadi Bay, Egypt",susankX5159WC
"""want""","Funchal, Portugal",susankX5159WC
