tag,place,user
"""been""","New Bern, NC, USA",teacherextraordinare
"""been""","Florala, AL, USA",teacherextraordinare
"""been""","Tucumcari, NM, USA",teacherextraordinare
"""been""","Ely, MN, USA",teacherextraordinare
"""been""","Hanapepe, HI, USA",teacherextraordinare
"""been""","Hot Springs, AR, USA",teacherextraordinare
"""been""","Joplin, MO, USA",teacherextraordinare
"""been""","Hanalei, HI, USA",teacherextraordinare
"""been""","Kansas City, MO, USA",teacherextraordinare
"""been""","Kapaa, HI, USA",teacherextraordinare
"""been""","Kalaheo, HI, USA",teacherextraordinare
"""been""","Springfield, MO, USA",teacherextraordinare
"""been""","Caye Caulker, Belize",teacherextraordinare
"""been""","Koloa, HI, USA",teacherextraordinare
"""been""","Hays, KS, USA",teacherextraordinare
"""been""","Belize City, Belize",teacherextraordinare
"""been""","Colorado Springs, CO, USA",teacherextraordinare
"""been""","Eureka Springs, AR, USA",teacherextraordinare
"""been""","Dallas, TX, USA",teacherextraordinare
"""been""","Arches National Park, UT, USA",teacherextraordinare
"""been""","Tikal National Park, Guatemala",teacherextraordinare
"""been""","Biscayne National Park, FL, USA",teacherextraordinare
"""been""","Edinburgh, UK",teacherextraordinare
"""been""","Washington DC, DC, USA",teacherextraordinare
"""been""","Tupelo, MS, USA",teacherextraordinare
"""been""","Dalmally, UK",teacherextraordinare
"""been""","Lihue, HI, USA",teacherextraordinare
"""been""","Waimea, HI, USA",teacherextraordinare
"""been""","Princeville, HI, USA",teacherextraordinare
"""been""","Topeka, KS, USA",teacherextraordinare
"""been""","Assisi, Italy",teacherextraordinare
"""been""","Crystal River, FL, USA",teacherextraordinare
"""been"",""fave""","Windsor, UK",teacherextraordinare
"""been""","Salida, CO, USA",teacherextraordinare
"""been""","Titusville, FL, USA",teacherextraordinare
"""been""","Arlington, VA, USA",teacherextraordinare
"""been""","Abilene, KS, USA",teacherextraordinare
"""been""","Glasgow, UK",teacherextraordinare
"""been""","San Ignacio, Belize",teacherextraordinare
"""been""","Morehead City, NC, USA",teacherextraordinare
"""been""","Dunvegan, UK",teacherextraordinare
"""been"",""fave""","Grand Canyon National Park, AZ, USA",teacherextraordinare
"""been""","Stirling, UK",teacherextraordinare
"""been"",""fave""","Yellowstone National Park, WY, USA",teacherextraordinare
"""been""","Harkers Island, NC, USA",teacherextraordinare
"""been""","Oklahoma City, OK, USA",teacherextraordinare
"""been""","Salina, KS, USA",teacherextraordinare
"""been""","Canon City, CO, USA",teacherextraordinare
"""been""","Omaha, NE, USA",teacherextraordinare
"""been""","Melbourne, FL, USA",teacherextraordinare
"""want""","Tortola, British Virgin Islands",teacherextraordinare
"""been""","Inveraray, UK",teacherextraordinare
