tag,place,user
"""been""","Atlanta, GA, USA",teachertraveler28
"""been""","Kapaa, HI, USA",teachertraveler28
"""been"",""fave""","Dublin, Ireland",teachertraveler28
"""been""","Ithaca, NY, USA",teachertraveler28
"""been""","Plymouth, MA, USA",teachertraveler28
"""been""","Paauilo, HI, USA",teachertraveler28
"""been""","Ventura, CA, USA",teachertraveler28
"""been"",""fave""","Haleiwa, HI, USA",teachertraveler28
"""been""","Papaikou, HI, USA",teachertraveler28
"""been""","Volcano, HI, USA",teachertraveler28
"""want""","Tokyo, Japan",teachertraveler28
"""been""","Cleveland, OH, USA",teachertraveler28
"""been""","Pickerington, OH, USA",teachertraveler28
"""been""","Ngongotaha, New Zealand",teachertraveler28
"""been""","Henrietta, NY, USA",teachertraveler28
"""been"",""fave""","New York City, NY, USA",teachertraveler28
"""been""","Salem, MA, USA",teachertraveler28
"""been""","Lahaina, HI, USA",teachertraveler28
"""been""","San Francisco, CA, USA",teachertraveler28
"""been"",""fave""","Seattle, WA, USA",teachertraveler28
"""been""","Page, AZ, USA",teachertraveler28
"""been""","Whakatane, New Zealand",teachertraveler28
"""been""","Big Water, UT, USA",teachertraveler28
"""been"",""fave""","Budapest, Hungary",teachertraveler28
"""been""","Jasper, Alberta, Canada",teachertraveler28
"""been""","Jasper National Park, Alberta, Canada",teachertraveler28
"""been""","Zion National Park, UT, USA",teachertraveler28
"""been""","Waipoua Forest, New Zealand",teachertraveler28
"""been""","Monument Valley, UT, USA",teachertraveler28
"""been""","Mill Run, PA, USA",teachertraveler28
"""been""","Springdale, UT, USA",teachertraveler28
"""been""","Venice, Italy",teachertraveler28
"""been""","Kailua-Kona, HI, USA",teachertraveler28
"""been"",""fave""","Hana, HI, USA",teachertraveler28
"""been""","Philadelphia, PA, USA",teachertraveler28
"""been""","Lake Louise, Alberta, Canada",teachertraveler28
"""been""","Banff, Alberta, Canada",teachertraveler28
"""been""","Boston, MA, USA",teachertraveler28
"""been""","Princeville, HI, USA",teachertraveler28
"""been""","Los Angeles, CA, USA",teachertraveler28
"""been""","Poipu, HI, USA",teachertraveler28
"""been""","Sandwich, MA, USA",teachertraveler28
"""been""","Chicago, IL, USA",teachertraveler28
"""been""","Canmore, Alberta, Canada",teachertraveler28
"""been""","Las Vegas, NV, USA",teachertraveler28
"""been""","Rotorua, New Zealand",teachertraveler28
"""been""","Hilo, HI, USA",teachertraveler28
"""been"",""fave""","Honokaa, HI, USA",teachertraveler28
"""been""","Honolulu, HI, USA",teachertraveler28
"""been""","Toronto, Ontario, Canada",teachertraveler28
"""been""","Waimea, HI, USA",teachertraveler28
