tag,place,user
"""been""","Hilo, HI, USA",tenisax
"""been""","Park City, UT, USA",tenisax
"""been""","Colleville-sur-Mer, France",tenisax
"""been""","San Marino, CA, USA",tenisax
"""been""","Lignan-De-Bordeaux, France",tenisax
"""been""","Malibu, CA, USA",tenisax
"""been""","Island of Hawaii, HI, USA",tenisax
"""been""","State College, PA, USA",tenisax
"""been""","Wainiha, HI, USA",tenisax
"""been""","Kauai, HI, USA",tenisax
"""been""","Allendale, NJ, USA",tenisax
"""been""","Ridgewood, NJ, USA",tenisax
"""been""","Waimea, HI, USA",tenisax
"""been""","Fair Lawn, NJ, USA",tenisax
"""been""","Lisbon, Portugal",tenisax
"""been""","Newark, NJ, USA",tenisax
"""been""","Saddle River, NJ, USA",tenisax
"""been""","Princeville, HI, USA",tenisax
"""been""","Poipu, HI, USA",tenisax
"""been""","Bethesda, MD, USA",tenisax
"""been""","New York City, NY, USA",tenisax
"""been""","Santa Monica, CA, USA",tenisax
"""want""","Whistler, British Columbia, Canada",tenisax
"""been""","Sedona, AZ, USA",tenisax
"""been""","Istanbul, Turkey",tenisax
"""been""","Punxsutawney, PA, USA",tenisax
"""been""","Budapest, Hungary",tenisax
"""been""","Hanalei, HI, USA",tenisax
"""been""","Lahaina, HI, USA",tenisax
"""been""","Glen Rock, NJ, USA",tenisax
"""been""","Wyckoff, NJ, USA",tenisax
"""been""","Westwood, NJ, USA",tenisax
"""been""","Philadelphia, PA, USA",tenisax
