tag,place,user
"""been""","Albufeira, Portugal",themikeKsmith
"""been""","Bruges, Belgium",themikeKsmith
"""been""","Weybridge, UK",themikeKsmith
"""been""","Gran Canaria, Spain",themikeKsmith
"""been""","Bournemouth, UK",themikeKsmith
"""been""","Lanzarote, Spain",themikeKsmith
"""been""","Rame, UK",themikeKsmith
"""been""","Paris, France",themikeKsmith
"""been""","Fordingbridge, UK",themikeKsmith
"""been""","Warminster, UK",themikeKsmith
"""been""","Cape Canaveral, FL, USA",themikeKsmith
"""been""","Llandeilo, UK",themikeKsmith
"""been""","Gweek, UK",themikeKsmith
"""been""","Naples, FL, USA",themikeKsmith
"""been""","East Molesey, UK",themikeKsmith
"""been""","Los Angeles, CA, USA",themikeKsmith
"""been""","Orlando, FL, USA",themikeKsmith
"""been""","Croydon, UK",themikeKsmith
"""been"",""want"",""fave""","Weymouth, UK",themikeKsmith
"""been""","Puerto Del Carmen, Spain",themikeKsmith
"""been""","Falmouth, UK",themikeKsmith
"""been""","Elveden, UK",themikeKsmith
"""been""","London, UK",themikeKsmith
"""been""","San Francisco, CA, USA",themikeKsmith
