tag,place,user
"""want""","Florence, Italy",timezonevaries
"""been""","Jackson, WY, USA",timezonevaries
"""been""","Corpus Christi, TX, USA",timezonevaries
"""been""","Durango, CO, USA",timezonevaries
"""been""","Cancun, Mexico",timezonevaries
"""want""","Barcelona, Spain",timezonevaries
"""been""","Hermanus, South Africa",timezonevaries
"""been""","Baltimore, MD, USA",timezonevaries
"""been""","Delaware City, DE, USA",timezonevaries
"""been""","Atlanta, GA, USA",timezonevaries
"""been""","Bozeman, MT, USA",timezonevaries
"""been""","Savannah, GA, USA",timezonevaries
"""been"",""want""","Dublin, Ireland",timezonevaries
"""want""","Amsterdam, The Netherlands",timezonevaries
"""been""","Kirkwall, UK",timezonevaries
"""been""","Milwaukee, WI, USA",timezonevaries
"""been""","Richmond, VA, USA",timezonevaries
"""want""","Paris, France",timezonevaries
"""been""","Wichita, KS, USA",timezonevaries
"""been""","Lincoln, NE, USA",timezonevaries
"""been""","Norman, OK, USA",timezonevaries
"""been""","Shelton, WA, USA",timezonevaries
"""been""","Olympic National Park, WA, USA",timezonevaries
"""been""","Pittsburgh, PA, USA",timezonevaries
"""want""","London, UK",timezonevaries
"""been"",""want""","Nashville, TN, USA",timezonevaries
"""been""","Juneau, AK, USA",timezonevaries
"""been""","Port Angeles, WA, USA",timezonevaries
"""been""","Salt Lake City, UT, USA",timezonevaries
"""been""","Moran, WY, USA",timezonevaries
"""been""","Little Rock, AR, USA",timezonevaries
"""been""","Springfield, IL, USA",timezonevaries
"""been""","Anchorage, AK, USA",timezonevaries
"""been""","New York City, NY, USA",timezonevaries
"""been""","Thurso, UK",timezonevaries
"""been""","John O'Groats, UK",timezonevaries
"""been""","Portsmouth, NH, USA",timezonevaries
"""been""","Sidney, British Columbia, Canada",timezonevaries
"""been""","Charles Town, WV, USA",timezonevaries
"""been""","Ucluelet, British Columbia, Canada",timezonevaries
"""been""","Fort William, UK",timezonevaries
"""been""","Watson Lake, Yukon, Canada",timezonevaries
"""been""","Dallas, TX, USA",timezonevaries
"""want""","Venice, Italy",timezonevaries
"""been""","Haines Junction, Yukon, Canada",timezonevaries
"""been""","Sedona, AZ, USA",timezonevaries
"""been""","Crested Butte, CO, USA",timezonevaries
"""been""","Skagway, AK, USA",timezonevaries
"""been""","Houston, TX, USA",timezonevaries
"""want""","Seattle, WA, USA",timezonevaries
"""been""","Yellowstone National Park, WY, USA",timezonevaries
"""been""","Fort Lauderdale, FL, USA",timezonevaries
"""been""","Port Alberni, British Columbia, Canada",timezonevaries
"""been""","Palm Springs, CA, USA",timezonevaries
"""been""","Pigeon Forge, TN, USA",timezonevaries
"""been""","Great Falls, MT, USA",timezonevaries
"""been""","Reno, NV, USA",timezonevaries
"""been""","San Diego, CA, USA",timezonevaries
"""been""","Cincinnati, OH, USA",timezonevaries
"""been""","Whitefish, MT, USA",timezonevaries
"""been""","Myrtle Beach, SC, USA",timezonevaries
"""been""","Copenhagen, Denmark",timezonevaries
"""been""","Denver, CO, USA",timezonevaries
"""been""","Amarillo, TX, USA",timezonevaries
"""been""","Niagara Falls, Ontario, Canada",timezonevaries
"""been""","Boston, MA, USA",timezonevaries
"""been""","Telluride, CO, USA",timezonevaries
"""been""","New Orleans, LA, USA",timezonevaries
"""been""","Calgary, Alberta, Canada",timezonevaries
"""been""","Custer, SD, USA",timezonevaries
"""been""","Orlando, FL, USA",timezonevaries
"""been""","Mountain Home, AR, USA",timezonevaries
"""been""","Billings, MT, USA",timezonevaries
"""been""","Whitehorse, Yukon, Canada",timezonevaries
"""want""","Honolulu, HI, USA",timezonevaries
"""been""","Grand Rapids, MI, USA",timezonevaries
"""been""","Saint Louis, MO, USA",timezonevaries
"""been""","Enid, OK, USA",timezonevaries
"""been""","Tulsa, OK, USA",timezonevaries
"""want""","Buenos Aires, Argentina",timezonevaries
"""been"",""fave""","Edinburgh, UK",timezonevaries
"""been""","Dawson City, Yukon, Canada",timezonevaries
"""been""","Des Moines, IA, USA",timezonevaries
"""been""","Austin, TX, USA",timezonevaries
"""been""","Kastrup, Denmark",timezonevaries
"""been""","Madison, WI, USA",timezonevaries
"""been""","Newport, RI, USA",timezonevaries
"""been""","Jackson, MS, USA",timezonevaries
"""been""","Prague, Czech Republic",timezonevaries
"""been""","Butte, MT, USA",timezonevaries
"""been""","Bismarck, ND, USA",timezonevaries
