tag,place,user
"""been""","Bogota, Colombia",tinkstraveltime
"""been""","Park City, UT, USA",tinkstraveltime
"""been""","Temecula, CA, USA",tinkstraveltime
"""been""","Santa Barbara, CA, USA",tinkstraveltime
"""been""","Beverly Hills, CA, USA",tinkstraveltime
"""been""","Memphis, TN, USA",tinkstraveltime
"""been""","Paso Robles, CA, USA",tinkstraveltime
"""been""","SeaTac, WA, USA",tinkstraveltime
"""been"",""want""","Rapid City, SD, USA",tinkstraveltime
"""been""","Half Moon Bay, CA, USA",tinkstraveltime
"""been""","Nashville, TN, USA",tinkstraveltime
"""been""","Atlanta, GA, USA",tinkstraveltime
"""been""","Cork, Ireland",tinkstraveltime
"""been""","Laguna Beach, CA, USA",tinkstraveltime
"""been""","Vail, CO, USA",tinkstraveltime
"""been""","West Bay, Honduras",tinkstraveltime
"""been""","Kailua, HI, USA",tinkstraveltime
"""been""","Morro Bay, CA, USA",tinkstraveltime
"""been""","Merida, Mexico",tinkstraveltime
"""been""","Jackson, WY, USA",tinkstraveltime
"""been""","Charlotte Amalie, U.S. Virgin Islands",tinkstraveltime
"""been""","Kobe, Japan",tinkstraveltime
"""been""","Seven Mile Beach, Cayman Islands",tinkstraveltime
"""been""","Paris, France",tinkstraveltime
"""been""","Rotterdam, The Netherlands",tinkstraveltime
"""been""","Nagano, Japan",tinkstraveltime
"""been""","Kyoto, Japan",tinkstraveltime
"""been""","La Spezia, Italy",tinkstraveltime
"""been""","Santa Monica, CA, USA",tinkstraveltime
"""been""","Haleiwa, HI, USA",tinkstraveltime
"""been""","Litchfield Park, AZ, USA",tinkstraveltime
"""been""","Salt Lake City, UT, USA",tinkstraveltime
"""been""","Glenwood Springs, CO, USA",tinkstraveltime
"""been""","Breckenridge, CO, USA",tinkstraveltime
"""been""","Ventura, CA, USA",tinkstraveltime
"""been""","London, UK",tinkstraveltime
"""been""","Huntington Beach, CA, USA",tinkstraveltime
"""been""","New York City, NY, USA",tinkstraveltime
"""been""","St. George, UT, USA",tinkstraveltime
"""been""","Boulder, CO, USA",tinkstraveltime
"""been""","Sacramento, CA, USA",tinkstraveltime
"""been""","Sioux Falls, SD, USA",tinkstraveltime
"""been""","Amsterdam, The Netherlands",tinkstraveltime
"""been""","Narita, Japan",tinkstraveltime
"""been""","Salzburg, Austria",tinkstraveltime
"""been""","Rome, Italy",tinkstraveltime
"""been""","Vatican City, Vatican City",tinkstraveltime
"""been""","San Jose, CA, USA",tinkstraveltime
"""want""","Bellagio, Italy",tinkstraveltime
"""been""","Nadi, Fiji",tinkstraveltime
"""been""","Seattle, WA, USA",tinkstraveltime
"""been""","Pacific Grove, CA, USA",tinkstraveltime
"""been""","Goodyear, AZ, USA",tinkstraveltime
"""been""","Fort Lauderdale, FL, USA",tinkstraveltime
"""been""","Steamboat Springs, CO, USA",tinkstraveltime
"""been""","Williamsburg, VA, USA",tinkstraveltime
"""been""","Seaside, OR, USA",tinkstraveltime
"""been""","Sedona, AZ, USA",tinkstraveltime
"""been""","Kihei, HI, USA",tinkstraveltime
"""been""","Seward, AK, USA",tinkstraveltime
"""been""","Lahaina, HI, USA",tinkstraveltime
"""been""","Kailua-Kona, HI, USA",tinkstraveltime
"""been"",""want""","Palm Desert, CA, USA",tinkstraveltime
"""been""","San Diego, CA, USA",tinkstraveltime
"""been""","Bloomington, MN, USA",tinkstraveltime
"""been""","Vienna, Austria",tinkstraveltime
