tag,place,user
"""been""","Thornhill, Ontario, Canada",tripyrr
"""been""","Hope Valley, RI, USA",tripyrr
"""been""","Oak Brook, IL, USA",tripyrr
"""been""","Denver, CO, USA",tripyrr
"""been""","Tahoe Vista, CA, USA",tripyrr
"""been""","Concord, MA, USA",tripyrr
"""been""","Lincoln, MA, USA",tripyrr
"""been""","Richmond Hill, Ontario, Canada",tripyrr
"""been""","Portneuf-sur-Mer, Quebec, Canada",tripyrr
"""been""","Bronx, NY, USA",tripyrr
"""been""","Toronto, Ontario, Canada",tripyrr
"""been""","Pasadena, CA, USA",tripyrr
"""been""","Monterey, CA, USA",tripyrr
"""been""","Longue-Rive, Quebec, Canada",tripyrr
"""been""","Charles Town, WV, USA",tripyrr
"""been""","Mystic, CT, USA",tripyrr
"""been""","Baie Sainte-Catherine, Quebec, Canada",tripyrr
"""been""","New London, CT, USA",tripyrr
"""been""","Paso Robles, CA, USA",tripyrr
"""want""","Churchill, Manitoba, Canada",tripyrr
"""been""","Les Escoumins, Quebec, Canada",tripyrr
"""been""","Los Angeles, CA, USA",tripyrr
