tag,place,user
"""been""","Lima, Peru",twoplustwoMidlands
"""been""","Prague, Czech Republic",twoplustwoMidlands
"""been""","Cusco, Peru",twoplustwoMidlands
"""been""","Chichester, UK",twoplustwoMidlands
"""been""","Arundel, UK",twoplustwoMidlands
"""been""","Hammamet, Tunisia",twoplustwoMidlands
"""been""","Machu Picchu, Peru",twoplustwoMidlands
"""been""","Palma de Mallorca, Spain",twoplustwoMidlands
"""been""","Cannes, France",twoplustwoMidlands
"""been""","Athens, Greece",twoplustwoMidlands
"""been""","La Fortuna de San Carlos, Costa Rica",twoplustwoMidlands
"""been""","Peniche, Portugal",twoplustwoMidlands
"""been""","Lichfield, UK",twoplustwoMidlands
"""been""","Chipping Campden, UK",twoplustwoMidlands
"""been""","Giza, Egypt",twoplustwoMidlands
"""been""","Cairo, Egypt",twoplustwoMidlands
"""been""","Urubamba, Peru",twoplustwoMidlands
"""been""","Torquay, UK",twoplustwoMidlands
"""been""","Plymouth, UK",twoplustwoMidlands
"""been""","Breuil-Cervinia, Italy",twoplustwoMidlands
"""been""","Bayeux, France",twoplustwoMidlands
"""been""","Durban, South Africa",twoplustwoMidlands
"""been""","Bruges, Belgium",twoplustwoMidlands
"""been""","Siem Reap, Cambodia",twoplustwoMidlands
"""been""","Bangkok, Thailand",twoplustwoMidlands
"""been""","Farnham, UK",twoplustwoMidlands
"""been""","Chiang Mai, Thailand",twoplustwoMidlands
"""been""","Springdale, UT, USA",twoplustwoMidlands
"""been""","Sundance, UT, USA",twoplustwoMidlands
"""been""","Mammoth Lakes, CA, USA",twoplustwoMidlands
"""been""","Pattaya, Thailand",twoplustwoMidlands
"""been""","Luxor, Egypt",twoplustwoMidlands
"""been""","Ascot, UK",twoplustwoMidlands
"""been""","Windsor, UK",twoplustwoMidlands
"""been""","Tunis, Tunisia",twoplustwoMidlands
"""been""","Nairobi, Kenya",twoplustwoMidlands
"""been""","Dijon, France",twoplustwoMidlands
"""been""","Venice, Italy",twoplustwoMidlands
"""been""","Nice, France",twoplustwoMidlands
"""been""","Orlando, FL, USA",twoplustwoMidlands
"""been""","Freshwater, UK",twoplustwoMidlands
"""been""","Bordeaux, France",twoplustwoMidlands
"""been""","Whitstable, UK",twoplustwoMidlands
"""been""","Winchester, UK",twoplustwoMidlands
"""been""","Beijing, China",twoplustwoMidlands
"""been""","Harare, Zimbabwe",twoplustwoMidlands
"""been""","Tonbridge, UK",twoplustwoMidlands
"""been""","Pantai Cenang, Malaysia",twoplustwoMidlands
"""been""","Bournemouth, UK",twoplustwoMidlands
"""been""","Las Vegas, NV, USA",twoplustwoMidlands
"""been""","Bridgetown, Barbados",twoplustwoMidlands
"""been""","Camberley, UK",twoplustwoMidlands
"""been""","Coral Gables, FL, USA",twoplustwoMidlands
"""been""","Madrid, Spain",twoplustwoMidlands
"""been""","Lusaka, Zambia",twoplustwoMidlands
"""been""","Herne Bay, UK",twoplustwoMidlands
"""been""","Isabela, Ecuador",twoplustwoMidlands
"""been""","Abersoch, UK",twoplustwoMidlands
"""been""","Los Angeles, CA, USA",twoplustwoMidlands
"""been""","Hua Hin, Thailand",twoplustwoMidlands
"""been""","Marlow, UK",twoplustwoMidlands
"""been""","Pune, India",twoplustwoMidlands
"""been""","Stratford-upon-Avon, UK",twoplustwoMidlands
"""been""","Singapore, Singapore",twoplustwoMidlands
"""been""","Bude, UK",twoplustwoMidlands
"""been""","San Diego, CA, USA",twoplustwoMidlands
"""been""","Newton Abbot, UK",twoplustwoMidlands
"""been""","Brighton, UK",twoplustwoMidlands
"""been""","Burton upon Trent, UK",twoplustwoMidlands
"""been""","Jackson, WY, USA",twoplustwoMidlands
"""been""","Cranbrook, British Columbia, Canada",twoplustwoMidlands
"""been""","Santa Monica, CA, USA",twoplustwoMidlands
"""been""","Istanbul, Turkey",twoplustwoMidlands
"""been""","Fes, Morocco",twoplustwoMidlands
"""been""","Bicester, UK",twoplustwoMidlands
"""been""","Limassol City, Cyprus",twoplustwoMidlands
"""been""","Rabat, Morocco",twoplustwoMidlands
"""been""","Quito, Ecuador",twoplustwoMidlands
"""been""","Ambleside, UK",twoplustwoMidlands
"""been""","Marrakech, Morocco",twoplustwoMidlands
"""been""","Marseille, France",twoplustwoMidlands
"""been""","Reims, France",twoplustwoMidlands
"""been""","Florence, Italy",twoplustwoMidlands
"""been""","Imlil, Morocco",twoplustwoMidlands
"""been""","Grasmere, UK",twoplustwoMidlands
"""been""","New York City, NY, USA",twoplustwoMidlands
"""been""","Lake Louise, Alberta, Canada",twoplustwoMidlands
"""been""","Calgary, Alberta, Canada",twoplustwoMidlands
"""been""","Bourton-on-the-Water, UK",twoplustwoMidlands
"""been""","Repton, UK",twoplustwoMidlands
"""been""","Blue Bay, Africa",twoplustwoMidlands
"""been""","Rhiw, UK",twoplustwoMidlands
"""been""","Okehampton, UK",twoplustwoMidlands
"""been""","Betws-y-Coed, UK",twoplustwoMidlands
"""been""","Phnom Penh, Cambodia",twoplustwoMidlands
"""been""","Dublin, Ireland",twoplustwoMidlands
"""been""","Windermere, UK",twoplustwoMidlands
"""been""","Lyon, France",twoplustwoMidlands
"""been""","Padstow, UK",twoplustwoMidlands
"""been""","Wadebridge, UK",twoplustwoMidlands
"""been""","Southampton, UK",twoplustwoMidlands
"""been""","Washington DC, DC, USA",twoplustwoMidlands
"""been""","Portsmouth, UK",twoplustwoMidlands
"""been""","Banjul, Gambia",twoplustwoMidlands
"""been""","Paris, France",twoplustwoMidlands
"""been""","Cancun, Mexico",twoplustwoMidlands
"""been""","Amsterdam, The Netherlands",twoplustwoMidlands
"""been""","Langkawi, Malaysia",twoplustwoMidlands
"""been""","Obidos, Portugal",twoplustwoMidlands
"""been""","Chamonix, France",twoplustwoMidlands
"""been""","Bracknell, UK",twoplustwoMidlands
"""been""","Silverstone, UK",twoplustwoMidlands
"""been""","Aberdaron, UK",twoplustwoMidlands
"""been""","Cudjoe Key, FL, USA",twoplustwoMidlands
"""been""","Cha-am, Thailand",twoplustwoMidlands
"""been""","London, UK",twoplustwoMidlands
"""been""","Es Capdella, Spain",twoplustwoMidlands
"""been""","Lagoa, Portugal",twoplustwoMidlands
"""been""","Phuket Town, Thailand",twoplustwoMidlands
"""been""","Arusha, Tanzania",twoplustwoMidlands
"""been""","Doha, Qatar",twoplustwoMidlands
"""been""","Egham, UK",twoplustwoMidlands
"""been""","Stockholm, Sweden",twoplustwoMidlands
"""been""","Miami Beach, FL, USA",twoplustwoMidlands
"""been""","Whitby, UK",twoplustwoMidlands
"""been""","Cambridge, UK",twoplustwoMidlands
"""been""","Hildenborough, UK",twoplustwoMidlands
"""been""","Male, Asia",twoplustwoMidlands
"""been""","Sequoia and Kings Canyon National Park, CA, USA",twoplustwoMidlands
"""been""","Stockbridge, UK",twoplustwoMidlands
"""been""","Rome, Italy",twoplustwoMidlands
"""been""","Alicante, Spain",twoplustwoMidlands
"""been""","St. Lucia, Caribbean",twoplustwoMidlands
"""been""","Gros Islet, St. Lucia",twoplustwoMidlands
"""been""","Kimberley, British Columbia, Canada",twoplustwoMidlands
"""been""","Hong Kong, China",twoplustwoMidlands
"""been""","Fowley Cross, UK",twoplustwoMidlands
"""been""","Dubai, United Arab Emirates",twoplustwoMidlands
"""been""","Krakow, Poland",twoplustwoMidlands
"""been""","Mumbai, India",twoplustwoMidlands
"""been""","Aguas Calientes, Peru",twoplustwoMidlands
"""been""","Berlin, Germany",twoplustwoMidlands
"""been""","New Milton, UK",twoplustwoMidlands
"""been""","Poole, UK",twoplustwoMidlands
"""been""","Whistler, British Columbia, Canada",twoplustwoMidlands
"""been""","Victoria, British Columbia, Canada",twoplustwoMidlands
"""been""","Vancouver, British Columbia, Canada",twoplustwoMidlands
"""been""","Llanbedrog, UK",twoplustwoMidlands
"""been""","Hounslow, UK",twoplustwoMidlands
"""been""","Mauritius, Africa",twoplustwoMidlands
"""been""","Maafushi Island, Asia",twoplustwoMidlands
"""been""","Key West, FL, USA",twoplustwoMidlands
"""been""","La Rochelle, France",twoplustwoMidlands
"""been""","San Jose, Costa Rica",twoplustwoMidlands
"""been""","Maras, Peru",twoplustwoMidlands
"""been""","Avignon, France",twoplustwoMidlands
"""been""","Warwick, UK",twoplustwoMidlands
"""been""","Tintagel, UK",twoplustwoMidlands
"""been""","Walsall, UK",twoplustwoMidlands
"""been""","Birmingham, UK",twoplustwoMidlands
"""been""","Selfoss, Iceland",twoplustwoMidlands
"""been""","West Wittering, UK",twoplustwoMidlands
"""been""","Oxford, UK",twoplustwoMidlands
