tag,place,user
"""been""","Hurawalhi, Asia",visionbyrm
"""been""","Nusa Dua, Indonesia",visionbyrm
"""been""","Nanjing, China",visionbyrm
"""been""","Kuta, Indonesia",visionbyrm
"""been""","Geneva, Switzerland",visionbyrm
"""been""","Dana Point, CA, USA",visionbyrm
"""been""","Bern, Switzerland",visionbyrm
"""been""","Malibu, CA, USA",visionbyrm
"""been""","Crans-Montana, Switzerland",visionbyrm
"""been""","Jakarta, Indonesia",visionbyrm
"""been""","Nice, France",visionbyrm
"""been""","Trimbach, Switzerland",visionbyrm
"""been"",""fave""","Beijing, China",visionbyrm
"""been""","Basel, Switzerland",visionbyrm
"""been""","Wuxi, China",visionbyrm
"""been""","Roquebrune-Cap-Martin, France",visionbyrm
"""been""","Monte-Carlo, Monaco",visionbyrm
"""been""","Kuta, Indonesia",visionbyrm
"""been""","Bournemouth, UK",visionbyrm
"""been""","Punta Cana, Dominican Republic",visionbyrm
"""been""","Bandra, India",visionbyrm
"""been""","Laufen, Switzerland",visionbyrm
"""been""","Phuket, Thailand",visionbyrm
"""been"",""fave""","Hong Kong, China",visionbyrm
"""been"",""fave""","Shanghai, China",visionbyrm
"""been""","Dubai, United Arab Emirates",visionbyrm
"""been""","Manchester, UK",visionbyrm
"""been""","Osaka, Japan",visionbyrm
"""been""","Cannes, France",visionbyrm
"""been""","Calangute, India",visionbyrm
"""been""","San Jose, CA, USA",visionbyrm
"""been""","Kyoto, Japan",visionbyrm
"""been""","Ningbo, China",visionbyrm
"""been""","Caen, France",visionbyrm
"""been""","Yountville, CA, USA",visionbyrm
"""been""","Bath, UK",visionbyrm
"""been""","Macau, China",visionbyrm
"""been""","Cha-am, Thailand",visionbyrm
"""been""","Monterey, CA, USA",visionbyrm
"""been""","Guangzhou, China",visionbyrm
"""been""","Seoul, South Korea",visionbyrm
"""been""","Birmingham, UK",visionbyrm
"""been""","Muscat, Oman",visionbyrm
"""been""","Ascona, Switzerland",visionbyrm
"""been""","Edinburgh, UK",visionbyrm
"""been""","Hangzhou, China",visionbyrm
"""been""","Budapest, Hungary",visionbyrm
"""been""","Pune, India",visionbyrm
"""been""","Beverly Hills, CA, USA",visionbyrm
"""been""","New Delhi, India",visionbyrm
"""been""","Patong, Thailand",visionbyrm
"""been""","Mumbai, India",visionbyrm
"""been""","Vienna, Austria",visionbyrm
"""been""","Singapore, Singapore",visionbyrm
"""been""","Santa Barbara, CA, USA",visionbyrm
"""been""","Sharjah, United Arab Emirates",visionbyrm
"""been""","Tokyo, Japan",visionbyrm
"""been""","Leukerbad, Switzerland",visionbyrm
"""been""","Zermatt, Switzerland",visionbyrm
"""been""","Santa Cruz, CA, USA",visionbyrm
"""been""","Brooklyn, NY, USA",visionbyrm
"""been""","Sacramento, CA, USA",visionbyrm
"""been""","Istanbul, Turkey",visionbyrm
"""been""","Shenzhen, China",visionbyrm
"""been""","St. Petersburg, Russia",visionbyrm
"""been""","Jeju, South Korea",visionbyrm
"""been""","Chiang Rai, Thailand",visionbyrm
"""been""","Salzburg, Austria",visionbyrm
"""been""","Abu Dhabi, United Arab Emirates",visionbyrm
"""been""","York, UK",visionbyrm
"""been""","Kuala Lumpur, Malaysia",visionbyrm
"""been""","Murren, Switzerland",visionbyrm
"""been""","Interlaken, Switzerland",visionbyrm
"""been""","Male, Asia",visionbyrm
"""been""","Kuantan, Malaysia",visionbyrm
"""been""","Verbier, Switzerland",visionbyrm
"""been""","Wengen, Switzerland",visionbyrm
"""been""","St. Moritz, Switzerland",visionbyrm
"""been""","Prague, Czech Republic",visionbyrm
"""been""","Khon Kaen, Thailand",visionbyrm
"""been""","Hua Hin, Thailand",visionbyrm
"""been""","Incheon, South Korea",visionbyrm
"""been""","San Francisco, CA, USA",visionbyrm
"""been""","Zurich, Switzerland",visionbyrm
"""been""","Kata Beach, Thailand",visionbyrm
"""been""","Lyon, France",visionbyrm
"""been""","Paris, France",visionbyrm
"""been""","Moscow, Russia",visionbyrm
"""been""","Puerto Plata, Dominican Republic",visionbyrm
"""been""","Los Angeles, CA, USA",visionbyrm
"""been""","Saas-Fee, Switzerland",visionbyrm
"""been""","Olten, Switzerland",visionbyrm
"""been"",""fave""","Chiang Mai, Thailand",visionbyrm
"""been"",""fave""","Bangkok, Thailand",visionbyrm
"""been""","Petra - Wadi Musa, Jordan",visionbyrm
"""been""","Grindelwald, Switzerland",visionbyrm
"""been""","Santo Domingo, Dominican Republic",visionbyrm
"""been"",""fave""","Pattaya, Thailand",visionbyrm
"""been""","Pontresina, Switzerland",visionbyrm
"""been""","New York City, NY, USA",visionbyrm
"""been"",""fave""","London, UK",visionbyrm
"""been""","Las Vegas, NV, USA",visionbyrm
"""been""","Marseille, France",visionbyrm
"""been""","Santa Monica, CA, USA",visionbyrm
"""been""","Lucerne, Switzerland",visionbyrm
"""been""","Linz, Austria",visionbyrm
"""been""","Napa, CA, USA",visionbyrm
"""been""","Galway, Ireland",visionbyrm
"""been""","Long Beach, CA, USA",visionbyrm
"""been""","Amman, Jordan",visionbyrm
"""been""","Dublin, Ireland",visionbyrm
