tag,place,user
"""want""","Playa del Carmen, Mexico",wannabefoodieHouston
"""been""","Amsterdam, The Netherlands",wannabefoodieHouston
"""been""","Richmond, British Columbia, Canada",wannabefoodieHouston
"""been"",""fave""","Zurich, Switzerland",wannabefoodieHouston
"""want""","Paris, France",wannabefoodieHouston
"""been"",""fave""","Rotterdam, The Netherlands",wannabefoodieHouston
"""been""","Kyoto, Japan",wannabefoodieHouston
"""been"",""fave""","Hollywood, FL, USA",wannabefoodieHouston
"""been"",""fave""","Colorado Springs, CO, USA",wannabefoodieHouston
"""been"",""fave""","Houston, TX, USA",wannabefoodieHouston
"""been""","Osaka, Japan",wannabefoodieHouston
"""been"",""fave""","London, UK",wannabefoodieHouston
"""been"",""fave""","Dallas, TX, USA",wannabefoodieHouston
"""been"",""fave""","Munich, Germany",wannabefoodieHouston
"""been""","Boston, MA, USA",wannabefoodieHouston
"""been"",""fave""","New Orleans, LA, USA",wannabefoodieHouston
"""been"",""fave""","Newark, NJ, USA",wannabefoodieHouston
"""want""","Honolulu, HI, USA",wannabefoodieHouston
"""been"",""fave""","Interlaken, Switzerland",wannabefoodieHouston
"""been"",""fave""","Rome, Italy",wannabefoodieHouston
"""been"",""fave""","Anaheim, CA, USA",wannabefoodieHouston
"""been"",""fave""","Vatican City, Vatican City",wannabefoodieHouston
"""been"",""fave""","Kuala Lumpur, Malaysia",wannabefoodieHouston
"""been"",""fave""","Roanoke, VA, USA",wannabefoodieHouston
"""been"",""fave""","West Hollywood, CA, USA",wannabefoodieHouston
"""want""","Quebec City, Quebec, Canada",wannabefoodieHouston
"""want""","Montreal, Quebec, Canada",wannabefoodieHouston
"""been""","Como, Italy",wannabefoodieHouston
"""been"",""fave""","Fort Lauderdale, FL, USA",wannabefoodieHouston
"""been""","Steamboat Springs, CO, USA",wannabefoodieHouston
"""been"",""fave""","Reno, NV, USA",wannabefoodieHouston
"""been"",""fave""","Innsbruck, Austria",wannabefoodieHouston
"""been"",""fave""","Bethesda, MD, USA",wannabefoodieHouston
"""been""","Bern, Switzerland",wannabefoodieHouston
"""been""","Calgary, Alberta, Canada",wannabefoodieHouston
"""been"",""fave""","Copenhagen, Denmark",wannabefoodieHouston
"""been"",""fave""","Geneva, Switzerland",wannabefoodieHouston
"""been"",""fave""","Tokyo, Japan",wannabefoodieHouston
"""been"",""fave""","Austin, TX, USA",wannabefoodieHouston
"""been"",""fave""","Plano, TX, USA",wannabefoodieHouston
"""been""","Durham, NC, USA",wannabefoodieHouston
"""been"",""fave""","Singapore, Singapore",wannabefoodieHouston
"""been"",""fave""","Pensacola, FL, USA",wannabefoodieHouston
"""been""","Trinidad, Trinidad and Tobago",wannabefoodieHouston
"""been""","Bologna, Italy",wannabefoodieHouston
"""been""","Portland, OR, USA",wannabefoodieHouston
"""been""","Fullerton, CA, USA",wannabefoodieHouston
"""been"",""fave""","Grapevine, TX, USA",wannabefoodieHouston
"""been"",""fave""","Tulsa, OK, USA",wannabefoodieHouston
"""been"",""fave""","Chicago, IL, USA",wannabefoodieHouston
"""been"",""fave""","Los Angeles, CA, USA",wannabefoodieHouston
"""been"",""fave""","Oakland, CA, USA",wannabefoodieHouston
"""been"",""fave""","Miami, FL, USA",wannabefoodieHouston
"""been""","Jean, NV, USA",wannabefoodieHouston
"""been"",""fave""","Las Vegas, NV, USA",wannabefoodieHouston
"""been""","Niagara Falls, Ontario, Canada",wannabefoodieHouston
"""been"",""fave""","Taos, NM, USA",wannabefoodieHouston
"""been"",""fave""","Jersey City, NJ, USA",wannabefoodieHouston
"""been"",""fave""","Cologne, Germany",wannabefoodieHouston
"""been""","Springfield, MO, USA",wannabefoodieHouston
"""want""","Barcelona, Spain",wannabefoodieHouston
"""been"",""fave""","Florence, Italy",wannabefoodieHouston
"""been"",""fave""","Oklahoma City, OK, USA",wannabefoodieHouston
"""been"",""fave""","Newport Beach, CA, USA",wannabefoodieHouston
"""been"",""fave""","Arlington, VA, USA",wannabefoodieHouston
"""been"",""fave""","Pisa, Italy",wannabefoodieHouston
"""been"",""fave""","Ontario, CA, USA",wannabefoodieHouston
"""been""","Santa Fe, NM, USA",wannabefoodieHouston
"""been"",""fave""","Dickson, TN, USA",wannabefoodieHouston
"""been"",""fave""","San Antonio, TX, USA",wannabefoodieHouston
"""been"",""fave""","San Francisco, CA, USA",wannabefoodieHouston
"""been""","Aspen, CO, USA",wannabefoodieHouston
"""been"",""fave""","Saint Louis, MO, USA",wannabefoodieHouston
"""been"",""fave""","Pensacola Beach, FL, USA",wannabefoodieHouston
"""been""","Philadelphia, PA, USA",wannabefoodieHouston
"""been"",""fave""","Washington DC, DC, USA",wannabefoodieHouston
"""been"",""fave""","Beverly Hills, CA, USA",wannabefoodieHouston
"""been"",""fave""","Macau, China",wannabefoodieHouston
"""been"",""fave""","Boulder, CO, USA",wannabefoodieHouston
"""been"",""fave""","Athens, Greece",wannabefoodieHouston
"""been"",""fave""","Memphis, TN, USA",wannabefoodieHouston
"""been""","Rockwall, TX, USA",wannabefoodieHouston
"""want""","Glasgow, UK",wannabefoodieHouston
"""been"",""fave""","Santa Barbara, CA, USA",wannabefoodieHouston
"""been"",""fave""","Sacramento, CA, USA",wannabefoodieHouston
"""been"",""fave""","Siena, Italy",wannabefoodieHouston
"""been"",""fave""","Galveston, TX, USA",wannabefoodieHouston
"""been"",""fave""","Taipei, Taiwan",wannabefoodieHouston
"""want""","Bangkok, Thailand",wannabefoodieHouston
"""been""","Luxembourg City, Luxembourg",wannabefoodieHouston
"""been"",""fave""","Santa Monica, CA, USA",wannabefoodieHouston
"""been""","Victoria, British Columbia, Canada",wannabefoodieHouston
"""been""","Whistler, British Columbia, Canada",wannabefoodieHouston
"""been"",""fave""","Venice, Italy",wannabefoodieHouston
"""been""","Buena Park, CA, USA",wannabefoodieHouston
"""been"",""fave""","Burbank, CA, USA",wannabefoodieHouston
"""been"",""fave""","Arlington, TX, USA",wannabefoodieHouston
"""want""","Beijing, China",wannabefoodieHouston
"""been"",""fave""","Alexandria, VA, USA",wannabefoodieHouston
"""been"",""fave""","Long Beach, CA, USA",wannabefoodieHouston
"""been""","Nashville, TN, USA",wannabefoodieHouston
"""been"",""fave""","Prague, Czech Republic",wannabefoodieHouston
"""been"",""fave""","Hong Kong, China",wannabefoodieHouston
"""been""","Baltimore, MD, USA",wannabefoodieHouston
"""been"",""fave""","Atlanta, GA, USA",wannabefoodieHouston
"""been"",""fave""","Vancouver, British Columbia, Canada",wannabefoodieHouston
"""been"",""fave""","Richmond, VA, USA",wannabefoodieHouston
"""been"",""fave""","Meridian, MS, USA",wannabefoodieHouston
"""been""","Carlsbad, CA, USA",wannabefoodieHouston
"""been"",""want""","Shanghai, China",wannabefoodieHouston
"""been"",""fave""","Denver, CO, USA",wannabefoodieHouston
"""been"",""want""","Seville, Spain",wannabefoodieHouston
"""been"",""fave""","Berlin, Germany",wannabefoodieHouston
"""been"",""fave""","Kissimmee, FL, USA",wannabefoodieHouston
"""been"",""fave""","Corpus Christi, TX, USA",wannabefoodieHouston
"""been"",""fave""","Milan, Italy",wannabefoodieHouston
"""been"",""fave""","Pasadena, CA, USA",wannabefoodieHouston
"""been"",""fave""","Sydney, Australia",wannabefoodieHouston
"""been"",""fave""","Fort Worth, TX, USA",wannabefoodieHouston
"""been"",""fave""","Orlando, FL, USA",wannabefoodieHouston
"""been"",""fave""","New York City, NY, USA",wannabefoodieHouston
"""been""","Ottawa, Ontario, Canada",wannabefoodieHouston
"""been"",""fave""","Vienna, Austria",wannabefoodieHouston
"""been"",""fave""","Hamburg, Germany",wannabefoodieHouston
"""been""","Taos Ski Valley, NM, USA",wannabefoodieHouston
"""been""","Budapest, Hungary",wannabefoodieHouston
"""been"",""fave""","McAllen, TX, USA",wannabefoodieHouston
"""want""","Cancun, Mexico",wannabefoodieHouston
"""want""","Seoul, South Korea",wannabefoodieHouston
"""been"",""fave""","Frankfurt, Germany",wannabefoodieHouston
"""been""","Williamsburg, VA, USA",wannabefoodieHouston
"""want""","Melbourne, Australia",wannabefoodieHouston
"""been"",""fave""","Branson, MO, USA",wannabefoodieHouston
"""been"",""fave""","Seattle, WA, USA",wannabefoodieHouston
"""been"",""fave""","Toronto, Ontario, Canada",wannabefoodieHouston
"""been"",""fave""","San Diego, CA, USA",wannabefoodieHouston
