tag,place,user
"""want""","Nice, France",wisechel
"""want""","Budapest, Hungary",wisechel
"""want""","Antalya, Turkey",wisechel
"""want""","Venice, Italy",wisechel
"""want""","Dubai, United Arab Emirates",wisechel
"""been""","Nadi, Fiji",wisechel
"""want""","Rome, Italy",wisechel
"""been""","Long Beach, CA, USA",wisechel
"""want""","Hong Kong, China",wisechel
"""want""","Kuala Lumpur, Malaysia",wisechel
"""want""","Madrid, Spain",wisechel
"""want""","Myrtle Beach, SC, USA",wisechel
"""been""","Akumal, Mexico",wisechel
"""want""","Bangkok, Thailand",wisechel
"""been""","San Francisco, CA, USA",wisechel
"""want""","Seattle, WA, USA",wisechel
"""been""","San Jose, CA, USA",wisechel
"""want""","Taipei, Taiwan",wisechel
"""been""","Arenal Volcano National Park, Costa Rica",wisechel
"""want""","Vienna, Austria",wisechel
"""want""","Paris, France",wisechel
"""been""","Fullerton, CA, USA",wisechel
"""been""","Playa Matapalo, Costa Rica",wisechel
"""been""","Miami Beach, FL, USA",wisechel
"""want""","Munich, Germany",wisechel
"""been""","Los Angeles, CA, USA",wisechel
"""been""","Placentia, CA, USA",wisechel
"""been""","Orlando, FL, USA",wisechel
"""been""","Miami, FL, USA",wisechel
"""want""","London, UK",wisechel
"""want""","Moscow, Russia",wisechel
"""been""","Sydney, Australia",wisechel
"""been""","Anaheim, CA, USA",wisechel
"""want""","Kyoto, Japan",wisechel
"""want""","Osaka, Japan",wisechel
"""been""","New Orleans, LA, USA",wisechel
"""want""","Toronto, Ontario, Canada",wisechel
"""want""","Melbourne, Australia",wisechel
"""want""","Boston, MA, USA",wisechel
"""been""","Cairns, Australia",wisechel
"""been""","Topeka, KS, USA",wisechel
"""been"",""fave""","Chicago, IL, USA",wisechel
"""want""","Amsterdam, The Netherlands",wisechel
"""been""","Las Vegas, NV, USA",wisechel
"""been"",""want""","Honolulu, HI, USA",wisechel
"""want""","Lisbon, Portugal",wisechel
"""want""","Barcelona, Spain",wisechel
"""want""","Hurghada, Egypt",wisechel
"""want""","Algarve, Portugal",wisechel
"""want""","Buenos Aires, Argentina",wisechel
"""want""","Dublin, Ireland",wisechel
"""want""","Seoul, South Korea",wisechel
"""want""","Milan, Italy",wisechel
"""been""","Cabo San Lucas, Mexico",wisechel
"""want""","Washington DC, DC, USA",wisechel
"""been""","Kaneohe, HI, USA",wisechel
"""want""","Berlin, Germany",wisechel
"""been""","Independence, MO, USA",wisechel
"""want""","Marrakech, Morocco",wisechel
"""want""","Istanbul, Turkey",wisechel
"""been""","Paradise Valley, AZ, USA",wisechel
"""been""","Sardinal, Costa Rica",wisechel
"""want""","Singapore, Singapore",wisechel
"""want""","Rio de Janeiro, Brazil",wisechel
"""want""","Tokyo, Japan",wisechel
"""been""","Kansas City, MO, USA",wisechel
"""want""","Prague, Czech Republic",wisechel
"""want""","New York City, NY, USA",wisechel
